"more presumptious","pió presuntuoso"
"etymology","etimologia"
"The wet season has arrived!","La stagione umida ä arrivata!"
"has very low cheekbones","ha zigomi molto bassi"
"An energetic poltergeist.","Un energico poltergeist."
"Offices and administrative work","Uffici e lavoro amministrativo"
" will be slain."," verrÖ ucciso."
"Tricky throw","Lancio complicato"
" crumbled completely."," si ä sbriciolato completamente."
"Proficient","Esperto"
"Animal Trainer","Addestratore di animali"
"would never under any circumstances speak up or otherwise put forth ","non parlerebbe mai, in nessuna circostanza, o esporrebbe in altro modo "
"refusing ","rifiutando "
"corrupt feature layer population","caratteristica corrotta strato di popolazione"
"the rejection of contact by ","il rifiuto del contatto da parte di "
"Total Power Needed: ","Potenza totale necessaria: "
"scout","ricognitore"
"I am compelled to continue!","Sono costretto a continuare!"
"Caught in flame","Incendiato"
"It pleases me.","Mi fa piacere."
"there","lç"
"another ","un altro "
"You have found a curious underground structure.","Hai trovato una curiosa struttura sotterranea."
"I conducted a meeting in ","Ho condotto una riunione in "
"Once the shop is built, open the [C:5:0:1]Creatures[C:7:0:0] info menu.  From there select the [C:5:0:1]Pets/Livestock[C:7:0:0] tab. ","Una volta costruito il negozio, apri il menó informativo [C:5:0:1]Creature[C:7:0:0].  Poi scegli la scheda [C:5:0:1]Animali domestici/Bestiame[C:7:0:0]. "
"The world generator is having trouble placing oceans.  ","Il generatore del mondo ha problemi a collocare oceani.  "
"the adversary's inability to communicate and form treaties","l'incapacitÖ dell'avversario di comunicare e di stringere trattati"
" (considered the primary)"," (considerato il principale)"
"studies","studia"
"speaking with ","parlando con "
"the area enclosed by a parabola and a line","l'area racchiusa da una parabola e una retta"
"the Deep","le ProfonditÖ"
"a noted brigand","un noto brigante"
"has a broad body made broader still by no shortage of surrounding lard","ha un corpo ampio, reso ancor pió ampio dall'abbondanza di lardo"
"Abandoned shop","Negozio abbandonato"
"It","Esso"
"northwest","nord-ovest"
"engineering:horology:mechanical clock","ingegneria:orologeria:orologio meccanico"
"the apprenticeship of","l'apprendistato di"
"arm carriage","trasporto a mano"
"has a recessed","ha uno sfuggente"
"courage","coraggio"
"Experiments","Esperimenti"
" abides here in magnificence"," dimora qui nella magnificenza"
"The pages are blank.","Le pagine sono vuote."
"I feel empathy.","Provo empatia."
"Overall, the choreography is inspired","Nel complesso la coreografia ä ispirata"
"Track/Ramp (E)","Binario/Rampa (E)"
" (mods)"," (mod)"
"engineering:astronomy:armillary sphere","ingegneria:astronomia:sfera armillare"
"It could happen!","Potrebbe accadere!"
" are "," sono "
"Use options in this category to place furniture that has already been constructed in a workshop.","Usa le opzioni in questa categoria per piazzare mobili costruiti in bottega."
"Get me going and I won't stop for anything.","Fammi perdere la testa e non mi fermerï per nulla."
"Supplies carried by each squad member","Rifornimenti trasportati da ciascun membro della squadra"
"If you have some [C:6:0:1]Wood[C:7:0:0] stockpiled, you'll be able to place a [C:6:0:0]Carpenter's Workshop[C:7:0:0].  ","Se hai [C:6:0:1]Legna[C:7:0:0] immagazzinata sarai in grado di collocare una [C:6:0:0]Bottega del Carpentiere[C:7:0:0].  "
"steal treasures","ruba tesori"
"concerns ","riguarda "
" leftward bend"," curva a sinistra"
"powers","potenze"
"No one else even considered making the journey to this cursed death-trap.","Nessun altro ha mai pensato d'intraprendere il viaggio verso questa maledetta trappola mortale."
"is reflective","ä riflessivo"
"grow corruption network","accresci rete di corruzione"
"the construction and use of the crank","la costruzione e l'uso della manovella"
"I don't like being obligated to anybody.","Non mi piace avere obblighi verso nessuno."
"Fish Dissector","Dissettore di pesce"
"a foot race","una corsa a piedi"
"Civic Mound","Tumulo civico"
" splatters over the "," schizza sul "
"Miners","Minatori"
"Tower Attic","Soffitta della torre"
"having a request approved","avere una richiesta approvata"
"Animal Societies","SocietÖ animali"
"Loading fortress information...","Caricamento dellel informazioni sulla fortezza..."
"This task has been suspended.","Questo compito ä stato sospeso."
"Seek Cage for Unchain","Cerca Gabbia per Liberare"
"Waaaaa...","Aaaaaa..."
"spattered","spruzzato"
"fortress (129,129,129)","fortezza (129,129,129)"
"These are ","Questi sono "
"Entity population changes","Cambiamenti nella popolazione dell'entitÖ"
"Move down to the southeast.","Spostati verso sud-est."
"Heavy combat","Combattimento pesante"
"I'm optimistic.","Sono ottimista."
" billion"," miliardo"
"Medical Ethics","Etica medica"
"There's no need for trouble here.","Non c'ä bisogno di problemi qui."
"engineering:optics:theory of color","ingegneria:ottica:teoria dei colori"
"The world generator is having trouble placing enough high elevations.  ","Il generatore del mondo ha problemi a collocare sufficienti alte quote.  "
"Rare","Rara"
"written-on ","scritto sopra "
" beaten"," pestato"
" fought with and subdued "," combattuto e sottomesso "
"I'm not jolly.","Non sono gioviale."
"My spouse discussed their problems with me.","Il mio coniuge ha parlato con me dei suoi problemi."
"Must be before ","Dev'essere prima di "
"being forced to endure the decay of a father","essere costretto a sopportare il decomporsi del padre"
"You insult me with your flattery","Mi insulti con le tue adulazioni"
"the collection of maps and other information into a single text","la raccolta di mappe e altre informazioni in un unico testo"
"Clear Glass","Vetro chiaro"
"Use Seed","Usa Seme"
"after accepting bribes in exchange for leniency","dopo aver accettato tangenti in cambio di clemenza"
"flayed and the skin stretched over ","scorticato e la pelle tesa su "
"Master Volume: ","Volume principale: "
" and can't even remember the last time "," e non riesce nemmeno a ricordare l'ultima volta "
" chest"," cassa"
"Flux stone layer","Strato di Pietra Mutevole"
"associated with ","associato/a a "
"little memory to speak of","poca memoria di cui parlare"
"sphere alignment","allineamento della sfera"
"World map size","Dimensione mappa mondo"
" Upward Track (NEW)"," Binario in Su (NEO)"
"masterfully ","magistralmente "
" spotted the forces of "," ha individuato le forze di "
"personal enemy","nemico personale"
"tends to be passive in discussions","tende ad essere passivo nelle discussioni"
" were the only great powers in the world."," erano le uniche grandi potenze del mondo."
" from an unknown year"," da un anno sconosciuto"
"octuplets","otto gemelli"
"feeling gratitude","sentirsi grati"
"Embark Points","Punti Insediamento"
"Toggle the display of spoor for tracking.","Abilita/disabilita la vista delle orme per il tracciamento."
"Maps and Distances","Mappe e Distanze"
"Scuttled","Squagliato"
"tercet","terzetto"
"Adventure automove (acrobatic)","Mov. automatico Avventura (acrobatico)"
"Placing trees","Collocando alberi"
"Fighter","Combattente"
"'s dragon fire"," fuoco del drago"
"tends to consider what others think of ","tende a considerare ciï che gli altri pensano di "
" the position of "," la posizione di "
"known brigand","brigante conosciuto"
"thirty","trenta"
" Master"," Maestro"
"This is a fight!","Questa ä una battaglia!"
"In The End","Alla fine"
" to induce a war of "," per indurre una guerra di "
" the musician "," il musicista "
"general import store (192,192,192), border (128,128,128)","negozio d'importazioni generali (192,192,192), confine (128,128,128)"
"Decrease FPS limit","Riduci limite FPS"
"breezy","spigliato"
" and took over "," e ha preso il controllo "
"Citizenship of ","Cittadinanza di "
"Vanquishing a great beast on our behalf would bring us all much glory.","Sconfiggere una grande bestia per conto nostro porterebbe a tutti noi molta gloria."
"is skinny and very short","ä secco e molto basso"
"Stone-fall traps drop a stone on intruders.  Must be loaded with boulders.","Le trappole a caduta di pietre fanno cadere una pietra sugli intrusi. Devono essere caricate con massi."
" which rest"," che poggia"
"barrow","carriola"
"Click the map to add points.","Clicca la mappa per aggiungere punti."
"Off","Spento"
"I take offense.","Mi sento offeso."
"Ice Track (NSE)","Binario di Ghiaccio (NSE)"
"There is a temple","C'ä un tempio"
"The assigned vehicle is moving toward this stop.","Il veicolo assegnato si sta muovendo verso questa fermata."
"I will agree to travel with you if you lead me to glory and death.","Accetterï di viaggiare con voi se mi condurrete alla gloria e alla morte."
"good food","buon cibo"
" squads assigned"," squadre assegnate"
"the Brightness of Stars","la LuminositÖ delle Stelle"
"I disagree.","Non sono d'accordo."
" was forced to make a hasty escape"," ä stato costretto a una fuga precipitosa"
"Infamous bully","Famigerato prepotente"
"Not vengeful","Non vendicativo"
"Change the inequality of the condition.","Cambia la disuguaglianza della condizione."
"I'm going to visit the library.","Vado a visitare la biblioteca."
"Grab Waterskin","Prendi Otre"
"[C:3:0:1]Paralyzed","[C:3:0:1]Paralizzato"
"It does not help matters that their leader ","Non aiuta il fatto che il loro capo "
" to view "," per vedere "
"perform with skill","eseguire con abilitÖ"
" Sarcophagus"," Sarcofago"
" Downward Track (NW)"," Binario in Gió (NO)"
"Cavern dwellers!  Send them back to the darkness!","Abitanti delle caverne!  Rispediteli nell'oscuritÖ!"
" own dead "," proprio morto "
"b.","n."
"Place structures and work areas that require construction materials.","Colloca strutture e aree di lavoro che necessitano di materiale da costruzione"
" weightless"," leggerissimo"
"bowyer's shop sign","insegna del negozio di archi"
"Astronomy","Astronomia"
"historical causation","causalitÖ storica"
"caverns","caverne"
"due to panic about what happens after death","a causa del panico per ciï che accade dopo la morte"
"I've defeated many fearsome opponents!","Ho sconfitto molti avversari temibili!"
"double-tube","doppio tubo"
" sarcophagus"," sarcofago"
"One member","Un membro"
"slashed off","squarciato di netto"
"paternal grandmother","nonna paterna"
"Worshipped ","Adorato "
" frequently"," frequentemente"
"an ability to read emotions fairly well","capacitÖ di leggere abbastanza bene le emozioni"
"Disdains competition","Disdegna le concorrenza"
"A restless haunt, generally troubling past acquaintances and relatives.","Uno spirito irrequieto, in genere infastidisce i conoscenti del passato e i parenti."
"Loom","Telaio"
"has a long, thin body that is somewhat weak with little fat","ha un corpo lungo ed esile, piuttosto debole e con poco grasso"
"Surgery","Chirurgia"
"Choreography","Coreografia"
"View stockpile","Vedi scorta"
"masterwork","capolavoro"
"Converting mining blueprint to regular","Conversione da progetto di scavo a regolare"
"chemistry:laboratory:alembic","chimica:laboratorio:alambicco"
" (traveling)"," (in viaggio)"
"a hero","un eroe"
"Can you tell me where I can find ","Puoi dirmi dove posso trovare "
"You have encountered these creatures in the past but not recently.","Hai incontrato queste creature in passato ma non di recente."
"Werebeast attack period (seasons)","Periodo d'attacco bestia mannara (stagioni)"
"Overlapping","Sovrapposto"
"This worthy hunt has rid us of an enemy.","Questa degna caccia ci ha liberato di un nemico."
"Observer","Osservatore"
"and [C:5:0:0]Scribes[C:7:0:0] to record them. Beware!  Some knowledge is dangerous.","e [C:5:0:0]Scribi[C:7:0:0] per documentarli.  Attenzione!  Alcune conoscenze sono pericolose."
"Move down to the northeast.","Spostati verso nord-est."
"Object (remembered)","Oggetto (memorizzato)"
"The soldiers can be allowed to sleep in their rooms whenever they way, or in the barracks either when they want or only when they must.","Puoi permettere ai soldati di dormire nelle loro stanze quando vogliono, oppure in caserma quando vogliono o solo quando devono."
"  It should be brought to ","  Dovrebbe essere portato a "
"surrounded by ","circondato da "
"an order of precedence","un ordine di precedenza"
"No job","Nessun lavoro"
"Store Object","Riponi Oggetto"
"What a wind!","Che vento!"
"jeweler","gioielliere"
"Marauder Mill","Zuffa dei Predoni"
"One","Uno"
"Kindred spirit","Spirito affine"
"the Diseases of Animals","le Malattie degli Animali"
"I want to see my friends.","Voglio vedere i miei amici."
"more distrustful","pió diffidente"
"sharing somebody's personal insight","condividere l'intuizione personale di qualcuno"
" and ended at "," e si ä conclusa a "
"Must be outside","Deve essere fuori"
"They offer ","Offrono "
" vomits"," vomita"
"I don't know very much about it.","Non so molto a riguardo."
"Organizations","Organizzazioni"
"If you don't have a [C:5:0:0]Bookkeeper[C:7:0:0], or they don't have an [C:3:0:0]Office[C:7:0:0] to work in, numbers may be approximate.","Se non hai un [C:5:0:0]Contabile[C:7:0:0], o se non hanno un [C:3:0:0]Ufficio[C:7:0:0] in cui lavorare, i numeri possono essere approssimativi."
"Population: ~6000","Popolazione: ~6000"
"dawn","alba"
", struck down by a ",", abbattuto da un "
"Nobody I remember.","Nessuno che io ricordi."
"Musical voice","Voce musicale"
" being mutilated by "," venendo mutilato da "
"[C:7:0:1].Minor pain","[C:7:0:1].Dolore minore"
"Smoke","Fumo"
"Confirm","Conferma"
"truly quick to tire","veramente veloce a stancarsi"
"Damaging refuse pile clothing.","Abbigliamento danneggiato"
" needed it"," ne necessitava"
"I've been discussing ","Ho discusso "
"legendary thief","leggendario ladro"
"Armorsmithing","Forgiatura d'armature"
"Creature Tissue Material Failure: ","Materiale del tessuto della creatura Guasto: "
"important location","luogo importante"
", who bled to death",", che ä morto dissanguato"
"Allow Necromancer Ghouls","Consenti Ghoul Negromanti"
"Clicking delete will instantly delete this game!","Cliccando su Elimina, questo partita verrÖ immediatamente cancellata!"
"short ","basso "
"as the owner of","come proprietario di"
"Depth","ProfonditÖ"
"quick to tire","rapido a stancarsi"
"Horn","Corno"
" was abandoned."," ä stato abbandonato."
"scratchy-voiced","voce graffiante"
"has many members in","ha molti membri in"
"is very short and muscular","ä molto basso e muscoloso"
"Updown stair (remembered)","Scala a doppio senso (memorizzata)"
"That's disgusting.","‘ disgustoso."
"a few minutes ago","pochi minuti fa"
" into believing "," nel credere "
"Snow","Neve"
":Path Goal ",":Obiettivo del Percorso "
"Stoneworking","Lavorare la pietra"
"I'm appalled.","Sono sconcertato."
"plants","piante"
"Gigantic Profile","Profilo gigantesco"
"Footwear","Calzature"
"the powers of the world were fading","le potenze del mondo stavano svanendo"
"dreams of making a great discovery","sogna di fare una grande scoperta"
"sees the denial of impulses as a vain and foolish pursuit","vede la negazione degli impulsi come una ricerca vana e sciocca"
"But mostly I just like to drink.","Ma soprattutto mi piace bere."
"A music competition","Una gara musicale"
"Loyal","Leale"
"Fluid Engineer","Ingegnere idraulico"
"I need something to do.","Ho bisogno di qualcosa da fare."
"My father discussed their problems with me.","Mio padre ha parlato con me dei suoi problemi."
"was a natural loner and refused to listen","era solitario di natura e si rifiutava di ascoltare"
"End Year","Fine anno"
"I haven't slept for a very long time.","Non dormo da molto tempo."
"Chained Guest","Ospite incatenato"
"is moderately fast","ä moderatamente veloce"
"  The seat of ","  La sede di "
"a wall","un muro"
"Needs adjacent wall","Serve una parete adiacente"
"is very weak and very short","ä molto debole e molto basso"
"Site located","Sito individuato"
" under the leadership of "," sotto la dirigenza di "
"believes that peace is always preferable to war","crede che la pace sia sempre preferibile alla guerra"
"is fat and very small","ä grasso e molto piccolo"
"perform","esibirsi"
"bones...  yes","ossa...  sç"
"this place","questo posto"
"values tradition","apprezza la tradizione"
"and more","e altro ancora"
"the Companion","il Compagno"
"the connection between disease and fouled water","il legame tra malattie e acqua sporca"
" own counsel"," proprio consiglio"
" was known to be"," era conosciuto per"
"[C:6:0:0].Moderate boiling","[C:6:0:0].Bollitura moderata"
" bears"," porta"
"is large, muscular and fat","ä grande, muscoloso e grasso"
"deeply values introspection","apprezza profondamente l'introspezione"
"milk ","latte "
"Quern","Macina a mano"
"tends not to reveal personal information","tende a non rivelare informazioni personali"
"I have mastered ","Ho imparato "
"chemistry:laboratory:systematic experiments","chimica:laboratorio:esperimenti sistematici"
"Allow Demonic Experiments","Consenti Esperimenti Demoniaci"
"Need thread","Serve filo"
"Satisfied for next check","Soddisfatto per il prossimo controllo"
"I was attacked by my own dead ","Sono stato attaccato dal mio stesso morto "
"Whom does your identity worship?","Chi venera la tua identitÖ?"
"harvest","raccolto"
"the end of work","la fine del lavoro"
"in despair","disperato"
"losing property to the tax collector's escorts","perdere i beni a causa della scorta dell'esattore"
"Workers dump shells","I lavoratori scartano le conchiglie"
"astronomy:star catalogues 100","astronomia:cataloghi stellari 100"
"due to lack of sleep","a causa della mancanza di riposo"
": Could not locate material template ",": Impossibile individuare modello di materiale "
"Disdains artwork","Disdegna le opere d'arte"
"models and templates","modelli e schemi"
"is very muscular and incredibly short","ä molto muscoloso e incredibilmente basso"
"Tropical Brackish Lake","Lago salmastro tropicale"
"Citizens assigned to the fishing work detail will fish in this zone if it exists.  Otherwise, they will fish everywhere.","I cittadini assegnati al lavoro di pesca pescheranno in questa zona, se esiste.  Altrimenti pescheranno ovunque."
"struck.  ","suonate.  "
"what do offer for them?","cosa offre per loro?"
"to amuse the audience","per divertire il pubblico"
"Loading effects...","Caricamento degli effetti..."
"guide","guida"
"Wildlife and even your own citizens can still be dangerous at times.","La fauna selvatica e perfino i cittadini possono essere talvolta pericolosi."
"The Sea","Il Mare"
"Don't serve anyone blindly.  You'll only get into trouble.","Non servite nessuno alla cieca.  Vi metterete solo nei guai."
"with that community.  For instance, you could rescue a kidnapped child or slay a dragon in order to be recognized as a hero.  ","con quella comunitÖ. Ad esempio, potresti salvare un bambino rapito o uccidere un drago per essere riconosciuto come un eroe. "
"Existing image","Immagine esistente"
"A fearsome","Un temibile"
"Most adventurers have three principle needs: food, water, and sleep.  ","La maggior parte degli avventurieri ha tre bisogni principali: cibo, acqua e sonno.  "
"less prone to cheerfulness","meno incline alla contentezza"
"Move down to the north.","Spostati verso nord."
"superbly ","superbamente "
"medicine:method:medical school","medicina:metodo:scuola di medicina"
"eaten rotten food","mangiato cibo marcio"
"Are you sure you want to go on?","Sicuro di voler continuare?"
"Scribe","Scriba"
"There have been several already!","Ce ne sono giÖ stati diversi!"
"invasion","invasione"
"laughs in a unique way whenever ","ride in modo unico ogni volta che "
"does the counterpoint melody","fa la melodia in contrappunto"
"Go to Interrogation Target","Vai all'obiettivo dell'interrogatorio"
"An angry ghost.","Un fantasma arrabbiato."
"Select a stockpile to","Seleziona una scorta per"
" weave"," tesse"
"Surprised","Sorpreso"
"juxtaposition","affiancamento"
"tortoise","tartaruga terrestre"
" at death"," alla morte"
"Saving image sets...","Salvataggio set immagini..."
"leaf or fruit","foglia o frutto"
"prayed inside","pregato all'interno"
"Information sheets","Schede informazioni"
"Shell","Conchiglia"
"I'm patient.","Sono paziente."
"/NW","/NO"
"history:theory:social conflict","storia:teoria:conflitto sociale"
"is quite florid","ä piuttosto florido"
" is already full."," ä giÖ pieno."
"abysmally clumsy","abissalmente maldestro"
"Finalizing descriptors...","Ultimando descrittori..."
"this poor nameless child","questo povero bambino senza nome"
"is skinny and incredibly short","ä secco e incredibilmente basso"
"the Astrolabe","l'Astrolabio"
"clerk","impiegato"
"Leatherworking","Pelletteria"
" a glob of "," una goccia di "
"I am almost overcome by grief.","Sono quasi sopraffatto dal dolore."
"spinning ","rotante "
"the bandits","i banditi"
" is a welcome sight. "," ä una vista gradita. "
"s provide","fornisce"
" refusal to give "," rifiuto di dare "
"Parley Item","Discussione Oggetto"
"[C:VAR:MEETING:ACTOR][VAR:NATIVENAME:MEETING:ACTOR]:  You have disrespected the trees in this area, but this is what we have come to expect from your stunted kind.  Further abuse cannot be tolerated.  Let this be a warning to you.","[C:VAR:MEETING:ACTOR][VAR:NATIVENAME:MEETING:ACTOR]:  Avete mancato di rispetto gli alberi di quest'area, ma questo ä ciï che ci aspettiamo dalla vostra razza corta.  Ulteriori abusi non possono essere tollerati.  Che questo sia un avvertimento per voi."
"sleeping on rocks","aver dormito sulle rocce"
"the residence of","la residenza di"
"Close the information sheet","Chiudi scheda informativa"
"High savagery (66+) blocks civilization placement -- make sure your parameters and presets offer at least small pockets of low-to-mid savagery areas.  ","L'alta ferocia (66+) blocca il posizionamento delle civiltÖ: assicurati che i parametri e i predefiniti offrano almeno piccole sacche di aree a bassa-media ferocia. "
"State that you are embarrassed by this kind of humor","Dichiara di essere imbarazzato da questo tipo di umorismo."
" soft"," morbido"
"Resilient","Resiliente"
"was drained of blood","ä stato prosciugato dal sangue"
"suffering a major injury","aver subito una grave lesione"
" right kick"," clic destro"
"has a very thin frame with a bit of fat on it","ha una struttura molto esile con un po' di grasso sopra"
"is extremely thin and frail","ä estremamente esile e fragile"
" during interrogation"," durante l'interrogatorio"
"Linguistic skill is required in the visual presentation as well, as ","L'abilitÖ linguistica ä richiesta anche nella presentazione visiva, in quanto "
"performance in site","esibizione in sito"
"By Obstacle","Per ostacolo"
" recite"," recita"
"family","famiglia"
"understated","sottovalutato"
"a colony of ","una colonia di "
"Update equipment","Aggiornare attrezzature"
"has little time for forgiveness and will generally seek retribution","ha poco tempo per il perdono e in genere cerca vendetta"
"usually speaks in a whisper","di solito parla sottovoce"
" well-prepared"," ben preparato"
"field ","campo "
"a dungeon","un labirinto di segrete"
"mathematics:method:proof by contradiction","matematica:metodo:prova per contraddizione"
"Artifacts","Manufatti"
"secretive poltergeist","poltergeist riservato"
"comparative anatomy","anatomia comparata"
"I'm just not enthusiastic.","Non sono entusiasta."
"Disease Classification","Classificazione delle malattie"
"Pressed material","Materiale pressato"
"calm","calma"
"essay","tema"
"prominent-chin","mento prominente"
"Join me and we'll bring ","Unisciti a me e porteremo "
"tends to assume the worst of two outcomes will be the one that comes to pass","tende a dare per scontato che il peggiore dei due esiti sarÖ quello che si realizzerÖ"
" shares the same rhyme.  "," condivide la stessa rima.  "
"Egg","Uovo"
"Thirteenth","Tredicesimo"
"Last I heard, it was in ","L'ultima volta che ne ho sentito era in "
"Appearance","Aspetto"
"Put to rest","Messo a riposo"
" on your left"," sulla tua sinistra"
"Craft or butcher.","Crea o macella."
" and destroyed "," e distrutto "
"Automatically clean fish","Pulizia automatica del pesce"
"Ammo ","Munizione "
" by a dead and still annoying acquaintance"," da una conoscenza seppellita ma ancora fastidiosa"
"mathematics:numbers:chinese remainder algorithm","matematica:numeri:algoritmo del resto cinese"
"Skipped on liquid","Scivolato su liquido"
"Low willpower","Bassa forza di volontÖ"
" beheaded "," decapitato "
"Poisons","Veleni"
"These lyrics are too austere.","Questi testi sono troppo austeri."
"has a tall, narrow body that is just incredibly skinny","ha un corpo alto e stretto che ä incredibilmente secco"
"Scalpels","Bisturi"
"Nothing to cage","Niente da ingabbiare"
"Engraver","Incisore"
"Fearless","Intrepido"
"Your citizens will fill sand bags at this zone if a sandy floor or sandy wall is included.  This task is initiated manually at the glass furnace.","I cittadini riempiranno i sacchi di sabbia in questa zona se vi ä un pavimento o una parete sabbiosa.  Questo compito va avviato manualmente presso il forno per vetro."
"hire on as mercenary","assumi come mercenario"
"the Camshaft","l'albero a camme"
"bites ","morde "
"I cannot accept this honor.  I am sorry.","Non posso accettare tale onore.  Mi dispiace."
"well-","ben"
"friends with ","amicizia con "
"is completely unmoved by art or the beauty of nature","ä completamente indifferente all'arte o alla bellezza della natura"
" after a punishing fight"," dopo un combattimento violento"
"Item blocking site","Oggetto blocca sito"
"Bring item to shop","Porta oggetto al negozio"
" splint on "," stecca su "
"You have recently encountered one of these creatures.","Hai recentemente incontrato una di queste creature."
" is alright."," va bene."
"annoyed","infastidito"
"an acquaintance","un conoscente"
"A criminal's punishment was delayed.","La punizione di un criminale ä stata rinviata."
"a very good bedroom","una camera da letto molto bella"
"I have no reason to accept this.","Non ho motivo di accettarlo."
"is always tense and jittery","ä sempre teso e agitato"
"the Fractures","le Fratture"
"Could not load sound file ","Impossibile caricare il file audio "
"Hourglasses","Clessidre"
"You continue the dance.","Continui la danza."
"A creature of the night has our people cowering in fear.","Una creatura della notte ha spaventato la nostra gente."
"has a very calm demeanor","ha un atteggiamento molto calmo"
"You enter ","Entri "
" flamboyant"," appariscente"
"agitated","agitato"
" melody pipe attached to the bag.  "," canna melodica attaccato alla sacca.  "
"Nightfall","Calar della notte"
" or suffer the consequences."," o subite le conseguenze."
"Unscheduled","Non programmato"
"Move down to the northwest.","Spostati verso nord-ovest."
"Store item in bin","Riponi oggetto in un cesto"
"a metal furniture shop","un negozio di mobili in metallo"
"How disgusting!","Che schifo!"
" has been recognized."," ä stato riconosciuto."
"How pleasurable!","Che piacere!"
" greeting "," salutando "
"I feel so anguished...","Mi sento cosç angosciato..."
"  I hear ","  Sento "
"There's no value in all of this scheming I see these days.","Non c'ä alcun valore in tutti questi intrallazzi che vedo in questi giorni."
" struck down "," abbattuto "
"Failed to find vanilla plants header.","Impossibile trovare l'intestazione delle piante vanilla."
"being forced to eat a treasured pet to survive","essere costretti a mangiare un prezioso animale domestico per sopravvivere"
"philosophy:logic:dialectic reasoning","filosofia:logica:ragionamento dialettico"
"happen upon","accadere su"
"Smelter","Fonderia"
" empties "," svuota "
"Place zones to establish meeting areas, pastures, and more.","Colloca zone per creare aree d'incontro, pascoli e altro."
"the dioptra","la diottra"
"disorderly conduct","cattiva condotta"
"Finalizing buildings...","Ultimando edifici..."
"traumatic injuries","lesioni traumatiche"
"Unknown region","Regione sconosciuta"
"geography:cartography:height measurements","geografia:cartografia:misure di altezza"
"What will you say about the site reclamation?","Che dirai sulla riconquista del sito?"
"hatred of","odio di"
"I talked to my child.","Ho parlato con mio figlio."
"bells","campane"
"The world generator is having trouble setting volcanism in the manner specified by the parameters.  ","Il generatore del mondo ha problemi a impostare il vulcanismo nel modo specificato dai parametri.  "
"Were you trying to make an argument?","Stavi cercando di litigare?"
"Explore ","Esplora "
"isn't very muscular but has a gigantic build","non ä molto muscoloso ma ha una corporatura gigantesca"
"Site Walk to Building","Sito Cammina verso Costruzione"
"Save to this timeline","Salve su questa linea temporale"
"a performance","un'esibizione"
"I don't really want to know.","Non voglio proprio saperne."
"Such unhappiness!","Che infelicitÖ!"
"talking with a lover","parlando con un amante"
"the computation of the surface area of a sphere","il calcolo della superficie di una sfera"
"anatomy","anatomia"
" been severed"," stato reciso"
" has altered the prices of goods."," ha alterato i prezzi dei prodotti."
"I am not happy.","Non sono felice."
"doesn't particularly respect commerce","non rispetta particolarmente il commercio"
"Doors can be used along with walls to enclose rooms, which is especially important when placing multiple zones at once.  Doors can also be forbidden or attached to levers to control movement in the fort.","Puoi usare porte insieme alle pareti per racchiudere le stanze, il che ä assai importante quando si posizionano pió zone contemporaneamente.  Le porte possono anche essere proibite o attaccate a leve per controllare il movimento nel forte."
"recordkeepers","archivisti"
"I'm feel like I'm about to snap.","Mi sento sul punto di scattare."
" and returned there after following its route."," e vi ä tornato dopo aver seguito la sua rotta."
"Popup: Burrows","Popup: Rifugi"
"Don't think about the truth, whatever that is.  Just say what needs to be said.","Non pensate alla veritÖ, qualunque essa sia.  Dite solo ciï che va detto."
"Select","Seleziona"
"This includes everything from [C:6:0:1]Bones[C:7:0:0] and other [C:6:0:1]Remains[C:7:0:0] to worn-out [C:6:0:1]Clothing[C:7:0:0]. ","Questo include tutto, da [C:6:0:1]Ossa[C:7:0:0] e altri [C:6:0:1]Resti[C:7:0:0] all'[C:6:0:1]Abbigliamento[C:7:0:0] usurato. "
"forced to talk to somebody annoying","costretto a parlare con qualcuno di fastidioso"
"Squad Kill List","Lista uccisioni Squadra"
"Aid rescue with ","Aiuta il salvataggio con "
"with","con"
"in grief","nel dolore"
"I'm not panicking.","Non sono in preda al panico."
"What is this?  ","Cos'ä questo?  "
"Uncage Animal","Libera Animale da gabbia"
"an unknown peak","un picco sconosciuto"
"This is the resting place of","Questo ä il luogo di riposo di"
"Workshops","Botteghe"
"I don't remember clearly.","Non ricordo precisamente."
"Need empty bucket","Serve secchio vuoto"
"Everybody harvests","Ognuno raccoglie"
"got into a brawl","coinvolto in una rissa"
" register to the "," registro al "
"Siphons","Sifoni"
"I am forming a grudge against ","Sto covando rancore nei confronti "
"I discussed my problems with somebody.","Ho parlato dei miei problemi con qualcuno."
" does not possess "," non possiede "
"Convalescence","Convalescenza"
" and"," e"
"Assign a minecart to this route.  Only one vehicle can operate on each route.","Assegna un carro da miniera a questo percorso.  Su ogni tratta puï circolare un solo veicolo."
" decayed without burial."," decomposto senza sepoltura."
"Noon","Mezzogiorno"
"Everyone should broaden their horizons.  Any work beyond learning the basics is just a waste.","Tutti dovrebbero allargare i propri orizzonti.  Qualsiasi lavoro oltre l'apprendimento delle basi ä solo uno spreco."
"the climbing of ","l'arrampicata di "
" using the position "," utilizzando la posizione "
"triangles","triangoli"
"legendary quarreler","leggendario altercatore"
"Historical maps","Mappe storiche"
"[C:6:0:1]Vision impaired","[C:6:0:1]Vista ostacolata"
"the moving out of","il trasloco di"
"engineering:machine:chain drive","ingegneria:macchinario:catena di trasmissione"
"a disagreement over prior treaties","un disaccordo sui trattati precedenti"
" Door"," Porta"
" has a new demand."," ha una nuova richiesta."
"masterfully prepared ","preparato con maestria "
