"more presumptious","더 주제넘은"
"giant kiwi chick","새끼 거대 키위새"
"giant kiwi chicks","새끼 거대 키위새떼"
"A large monster with a long nose and brown feathers.","갈색 깃털과 기다란 코를 가진 커다란 괴물."
"giant kiwi cock","거대 수 키위새"
"giant kiwi cocks","거대 수 키위새떼"
"giant kiwi hen","거대 암 키위새"
"giant kiwi hens","거대 암 키위새떼"
"great size","거대한 크기"
"A large flightless bird that runs through the savanna.  It has a long neck and legs.","사바나를 달리는 날지 못하는 큰 새. 이 새는 긴 목과 다리를 가지고 있습니다."
"ostrich","타조"
"ostriches","타조떼"
"ostrich chick","새끼 타조"
"ostrich chicks","새끼 타조떼"
"long necks","긴 목"
"giant eggs","거대 알들"
"ostrich hen","암 타조"
"ostrich hens","암 타조떼"
"ostrich cock","수 타조"
"ostrich cocks","수 타조떼"
"tail feathers","꼬리 깃털들"
"head and neck down","굽은 머리와 목"
"ostrich man","타조인간"
"ostrich men","타조인간들"
"ostrich woman","여성 타조인간"
"ostrich women","여성 타조인간들"
"This is a medium-sized creature with legs and arms, but the long neck and head of an ostrich.","다리와 팔을 가진 중간 크기의 생물체, 하지만 긴 목과 타조의 머리를 가지고 있다."
"giant ostrich","거대 타조"
"giant ostriches","거대 타조떼"
"giant ostrich chick","새끼 거대 타조"
"giant ostrich chicks","새끼 거대 타조떼"
"A huge bird monster with extremely long legs and neck.","극단적으로 긴 목과 다리를 지닌 거대 조류 괴물입니다."
"giant ostrich cock","거대 수 타조"
"giant ostrich cocks","거대 수 타조떼"
"giant ostrich hen","거대 암 타조"
"giant ostrich hens","거대 암 타조떼"
"A small black bird that feeds on carrion.  It is social, very intelligent and knows how to use tools.","썩은 고기가 주식인 작고 검은 새 입니다. 이들은 사회적이고. 굉장히 지능적이며 도구를 사용할 줄 알고 있습니다."
"crow","까마귀"
"crows","까마귀떼"
"crow hatchling","새끼 까마귀"
"crow hatchlings","새끼 까마귀떼"
"intelligence","지능"
"crow man","까마귀인간"
"crow men","까마귀인간들"
"crow woman","여성 까마귀인간"
"crow women","여성 까마귀인간들"
"A small person with the head and wings of a crow.","까마귀의 머리와 날개를 가진 작은 인간."
"giant crow","거대 까마귀"
"giant crows","거대 까마귀떼"
"giant crow hatchling","새끼 거대 까마귀"
"giant crow hatchlings","새끼 거대 까마귀떼"
"A large bird-like monster, even more deadly when found in groups.","새처럼 생긴 큰 괴물로, 무리로 나타나면 더욱 치명적입니다."
"A small, foreboding black bird that feeds on carrion.  It is social, very intelligent, and knows how to use tools.","썩은 고기가 주식인 작고 불길한 검은 새 입니다. 이들은 사회적이고, 굉장히 지능적이며, 도구를 사용할 줄 알고 있습니다."
"raven","큰까마귀"
"ravens","큰까마귀떼"
"raven hatchling","새끼 큰까마귀"
"raven hatchlings","새끼 큰까마귀떼"
"raven man","큰까마귀인간"
"raven men","큰까마귀인간들"
"raven woman","여성 큰까마귀인간"
"raven women","여성 큰까마귀인간들"
"A person with the head and wings of a raven.","큰까마귀의 머리와 날개를 가진 인간."
"giant raven","거대 큰까마귀"
"giant ravens","거대 큰까마귀떼"
"giant raven hatchling","새끼 거대 큰까마귀"
"giant raven hatchlings","새끼 거대 큰까마귀떼"
"A small, flightless, brightly-colored bird.","밝은 색을 가진 작고 날수 없는 새 입니다."
"cassowary","화식조"
"cassowaries","화식조떼"
"cassowary chick","새끼 화식조"
"cassowary chicks","새끼 화식조떼"
"casques","캐스크"
"cassowary man","화식조인간"
"cassowary men","화식조인간들"
"cassowary woman","여성 화식조인간"
"cassowary women","여성 화식조인간들"
"A brightly-colored person with the head of a cassowary.","화식조의 모습을 한 밝은 색의 인간."
"giant cassowary","거대 화식조"
"giant cassowaries","거대 화식조"
"giant cassowary chick","새끼 거대 화식조"
"giant cassowary chicks","새끼 거대 화식조"
"A huge monster in the shape of a cassowary.","화식조의 모습을 한 거대한 괴수."
"A small, green, intelligent mountain parrot.","작고, 초록색의, 지능적인 산 앵무새"
"kea","케아"
"kea chick","새끼 케아"
"kea chicks","새끼 케아"
"kea man","케아 인간"
"kea men","케아 인간"
"kea woman","여성 케아"
"kea women","여성 케아"
"A green person with the head of a kea.","케아의 머리를 가진 초록색 인간."
"giant kea","거대 케아"
"giant kea chick","새끼 거대 케아"
"giant kea chicks","새끼 거대 케아"
"A monster many times the size of an ordinary kea.","평범한 케아 보다 몇 배나 큰 괴물."
"A small white bird that hunts in the coldest reaches of the world.","세계에서 가장 추운 영역에서 사냥 하는 작고 하얀 새."
"snowy owl","눈 올빼미"
"snowy owls","눈 올빼미"
"snowy owl chick","새끼 눈 올빼미"
"snowy owl chicks","새끼 눈 올빼미."
"yellow eyes","노란 눈."
"snowy owl man","눈 올빼미인간"
"snowy owl men","눈 올빼미인간"
"snowy owl woman","여성 눈 올빼미인간"
"snowy owl women","여성 눈 올빼미인간"
"A person with the wings and head of a snowy owl.","눈 올빼미의 머리와 날개를 가진 인간."
"giant snowy owl","거대 눈 올빼미"
"giant snowy owls","거대 눈 올빼미"
"giant snowy owl chick","새끼 거대 눈 올빼미"
"giant snowy owl chicks","새끼 거대 눈 올빼미"
"A large bird monster in the shape of a snowy owl.","눈 올빼미 모습을 한 거대한 괴수."
"A tiny brown bird that can be found in most temperate regions.","대부분의 기온에서 보이곤 하는 작은 갈색의 새."
"sparrow","참새"
"sparrows","참새"
"sparrow hatchling","새끼 참새"
"sparrow hatchlings","새끼 참새떼"
"lovely songs","사랑스러운 노래"
"dust baths","흙 목욕"
"sparrow man","참새인간"
"sparrow men","참새인간들"
"sparrow woman","여성 참새인간"
"sparrow women","여성 참새인간들"
"A person with the head and wings of a sparrow.","참새의 머리와 날개를 가진 인간."
"giant sparrow","거대 참새"
"giant sparrows","거대 참새떼"
"giant sparrow hatchling","새끼 참새"
"giant sparrow hatchlings","새끼 참새떼"
"A large bird-like monster in the shape of a sparrow.","참새의 모습을 한 거대한 괴수."
"A small bird with long legs and bill, and a extremely long wingspan.","긴 다리와 부리, 그리고 매우 긴 날개를 가진 작은 새"
"white stork","흰 황새"
"white storks","흰 황세떼"
"white stork hatchling","새끼 황새"
"white stork hatchlings","새끼 황새떼"
"long legs","긴 다리s"
"long bills","긴 부리"
"white stork man","흰 황새 인간"
"white stork men","흰 황세 인간들"
"white stork woman","여성 흰 황새 인간"
"white stork women","여성 흰 황세 인간들"
"A person with the head and wings of a stork, also standing on long legs.","황새의 머리와 날개를 가진 인간, 긴 다리로 서 있다."
"giant white stork","거대한 흰 황새"
"giant white storks","거대한 흰 황새떼"
"giant white stork hatchling","새끼 거대 황새"
"giant white stork hatchlings","새끼 거대 황새떼"
"A large monster in the form of a stork.","황새의 모습을 한 거대한 괴수."
"A small water bird found in remote lakes.  It is known for its haunting call.","먼 호수에서 발견 되는 작은 물새. 소름끼치는 울음 소리로 알려져 있다."
"loon","아비새"
"loons","아비새떼"
"loon chick","새끼 아비새"
"loon chicks","새끼 아비새떼"
"haunting call","살벌한 울음소리"
"loon man","아비새인간"
"loon men","아비새인간들"
"loon woman","여성 아비새인간"
"loon women","여성 아비새인간들"
"A person with the head and wings of a loon.","아비새의 머리와 날개를 가진 인간."
"giant loon","거대 아비새"
"giant loons","거대 아비새떼"
"giant loon chick","새끼 거대 아비새"
"giant loon chicks","새끼 거대 아비새떼"
"A large monster in the shape of a loon.","아비새의 모습을 한 거대한 괴수."
"A small, nocturnal bird of prey found in woodland regions.  Its hunger for rodents drives it to take residence in buildings.","삼림지대에서 발견되는 작은 야행성 맹금류. 설치류를 잡아 먹기 때문에 건축물 안에 둥지를 튼다."
"barn owl","원숭이올빼미"
"barn owls","원숭이올빼미떼"
"barn owl chick","새끼 원숭이올빼미"
"barn owl chicks","새끼 원숭이올빼미."
"barn owl man","원숭이올빼미인간"
"barn owl men","원숭이올빼미인간들"
"barn owl woman","여성 원숭이올빼미인간"
"barn owl women","여성 원숭이올빼미인간들"
"A person with the arms and wings of a barn owl.","원숭이올빼미의 팔과 날개를 가진 인간."
"giant barn owl","거대 원숭이올빼미"
"giant barn owls","거대 원숭이올빼미떼"
"giant barn owl chick","새끼 거대 원숭이올빼미"
"giant barn owl chicks","새끼 거대 원숭이올빼미"
"A large monster in the form of a barn owl.","원숭이올빼미의 모습을 한 거대한 괴수."
"parakeet","잉꼬"
"parakeets","잉꼬떼"
"parakeet hatchling","새끼 잉꼬"
"parakeet hatchlings","새끼 잉꼬떼"
"ability to speak","말하는 능력"
"parakeet man","잉꼬인간"
"parakeet men","잉꼬인간들"
"parakeet woman","여성 잉꼬인간"
"parakeet women","여성 잉꼬인간들"
"A person with the head and wings of a parakeet.","잉꼬의 머리와 날개를 가진 인간."
"giant parakeet","거대 잉꼬"
"giant parakeets","거대 잉꼬들"
"giant parakeet hatchling","새끼 거대 잉꼬"
"giant parakeet hatchlings","새끼 거대 잉꼬들"
"A large monster in the shape of a parakeet.","잉꼬의 모습을 한 거대한 괴수."
"A small flightless green parrot.  It is nocturnal and counts itself among the longest-lived birds.","날지 못하는 작은 녹색 앵무새. 야행성이며 수명이 가장 긴 새들 중 하나이기도 하다."
"kakapo","올빼미앵무"
"kakapo chick","새끼 올빼미앵무"
"kakapo chicks","새끼 올빼미앵무떼"
"flightlessness","날지 못하는"
"booming calls","우렁찬 울음소리"
"boom","폭발"
"booms","폭발"
"a low boom","작은 폭발"
"kakapo man","올빼미앵무인간"
"kakapo men","올빼미앵무인간들"
"kakapo woman","여성 올빼미앵무인간"
"kakapo women","여성 올빼미앵무인간들"
"A person with the head and wings of a kakapo.","올빼미앵무의 머리와 날개를 가진 인간."
"giant kakapo","거대 올빼미앵무"
"giant kakapo chick","새끼 거대 올빼미앵무"
"giant kakapo chicks","새끼 거대 올빼미앵무떼"
"A large monster the shape of a kakapo.","올빼미앵무의 모습을 한 거대한 괴수."
"The most intelligent of birds.  It can be found in the rainforest.","가장 똑똑한 새. 열대우림에 서식한다."
"grey parrot","회색앵무"
"grey parrots","회색앵무떼"
"grey parrot chick","새끼 회색앵무"
"grey parrot chicks","새끼 회색앵무떼"
"social nature","무리생활 특성"
"grey parrot man","회색앵무인간"
"grey parrot men"," 회색앵무인간들"
"grey parrot woman","여성 회색앵무인간"
"grey parrot women","여성 회색앵무인간들"
"A person with the head and wings of a grey parrot.","회색앵무의 머리와 날개를 가진 인간."
"giant grey parrot","거대 회색앵무"
"giant grey parrots","거대 회색앵무떼"
"giant grey parrot chick","새끼 거대 회색앵무"
"giant grey parrot chicks","새끼 거대 회색앵무떼"
"A huge monster in the shape of a grey parrot.","회색앵무의 모습을 한 거대한 괴수."
"puffin"," 바다쇠오리"
"puffins","바다쇠오리떼"
"puffin chick","새끼 바다쇠오리"
"puffin chicks","새끼 바다쇠오리떼"
"colorful beaks","화려한 부리"
"puffin man","바다쇠오리인간"
"puffin men","바다쇠오리인간들"
"puffin woman","여성 바다쇠오리인간"
"puffin women","여성 바다쇠오리인간들"
"A feathered person with the head of a puffin.","바다쇠오리의 머리를 가진 깃털달린 인간."
"giant puffin","거대 바다쇠오리"
"giant puffins","거대 바다쇠오리떼"
"A large monster in the form of a puffin.","바다쇠오리의 모습을 한 거대한 괴수."
"A small aquatic bird, prized for its beauty.","물에 사는 작은 새, 아름답기로 유명하다."
"swan","백조"
"swans","백조떼"
"cygnet","새끼 백조"
"cygnets","새끼 백조떼"
"pen swan","암컷 백조"
"pen swans","암컷 백조떼"
"cob swan","수컷 백조"
"cob swans","수컷 백조떼"
"swan man","백조인간"
"swan men","백조인간들"
"swan woman","여성 백조인간"
"swan women","여성 백조인간들"
"A person with the head and wings of a swan.","백조의 머리와 날개를 가진 인간."
"giant swan","거대 백조"
"giant swans","거대 백조떼"
"giant cygnet","새끼 거대 백조"
"giant cygnets","새끼 거대 백조떼"
"A large monster in the form of a swan.","백조의 모습을 한 거대한 괴수."
"lorikeet","로리킷"
"lorikeets","로리킷들"
"lorikeet hatchling"," 새끼 로리킷"
"lorikeet hatchlings","새끼 로리킷들"
"bright coloration","밝은 색감"
"playful personalities","놀기 좋아하는 성격"
"lorikeet man"," 로리킷인간"
"lorikeet men","로리킷인간들"
"lorikeet woman","암컷 로리킷"
"lorikeet women","암컷 로리킷"
"A colorful person with the head and wings of a lorikeet.","로리킷의 머리와 날개를 가진 화려한 인간."
"giant lorikeet","거대 로리킷"
"giant lorikeets","거대 로리킷들"
"giant lorikeet hatchling","새끼 거대 로리킷"
"giant lorikeet hatchlings","새끼 거대 로리킷들"
"A large monster in the shape of a lorikeet.","로리킷의 모습을 한 거대한 괴수."
"A tiny brown bird given to singing complex songs.","복잡한 노래를 부르는 자그마한 갈색 새."
"wren","굴뚝새"
"wrens","굴뚝새떼"
"wren hatchling","새끼 굴뚝새"
"wren hatchlings","새끼 굴뚝새떼"
"intricate songs","난해한 노래"
"wren man","굴뚝새인간"
"wren men","굴뚝새인간들"
"wren woman","여성 굴뚝새인간"
"wren women","여성 큰굴뚝새인간들"
"A person with the head and wings of a wren.","굴뚝새의 머리와 날개를 가진 인간."
"giant wren","거대 굴뚝새"
"giant wrens","거대 굴뚝새떼"
"giant wren hatchling","새끼 거대 굴뚝새"
"giant wren hatchlings","새끼 거대 굴뚝새떼"
"A huge monster in the form of a wren.","굴뚝새의 모습을 한 거대한 괴수."
"A small bird of prey with black markings on its eyes.  It hunts near bodies of water.","눈에 검은 무늬가 있는 작은 맹금류, 물 근처에서 사냥을 한다."
"osprey","물수리"
"ospreys","물수리떼"
"osprey chick","새끼 물수리"
"osprey chicks","새끼 물수리떼"
"fishing ability","낚시 능력"
"osprey man","물수리인간"
"osprey men","물수리인간들"
"osprey woman","여성 물수리인간"
"osprey women","여성 물수리인간들"
"A person with the head and wings of an osprey.","물수리의 머리와 날개를 가진 인간."
"giant osprey","거대 물수리"
"giant ospreys","거대 물수리떼"
"giant osprey chick","새끼 거대 물수리"
"giant osprey chicks","새끼 거대 물수리떼"
"A large monster in the form of an osprey.","물수리의 모습을 한 거대한 괴수."
"A large flightless bird.  It is very curious and has been known to follow other creatures.","날지 못하는 커다란 새. 호기심이 많아 다른 생물들을 따라다니는 습성을 지녔다."
"emu","에뮤"
"emus","에뮤떼"
"emu chick","새끼 에뮤"
"emu chicks","새끼 에뮤떼"
"size","크기"
"inquisitive nature","호기심많은 특성"
"emu man","에뮤인간"
"emu men","에뮤인간들"
"emu woman","여성 에뮤인간"
"emu women","여성 에뮤인간들"
"A feathered person with the head of an emu.","에뮤의 머리를 가진 깃털달린 인간."
"giant emu","거대 에뮤"
"giant emus","거대 에뮤떼"
"giant emu chick","새끼 거대 에뮤"
"giant emu chicks","새끼 거대 에뮤떼"
"A huge monster in the form of an emu.","에뮤의 모습을 한 거대한 괴수."
"A tiny crested parrot.  They are prized as domestic companions.","작은 볏이 달린 앵무새, 집에서 기르기 좋다."
"cockatiel","왕관앵무"
"cockatiels","왕관앵무떼"
"cockatiel hatchling","새끼 왕관앵무"
"cockatiel hatchlings","새끼 왕관앵무떼"
"crests","볏"
"cockatiel man","왕관앵무인간"
"cockatiel men","왕관앵무인간"
"cockatiel woman","여성 왕관앵무인간"
"cockatiel women","여성 왕관앵무인간들"
"A crested person with the head and wings of a cockatiel.","왕관앵무의 머리와 날개를 가진 깃털달린 인간."
"giant cockatiel","거대 왕관앵무"
"giant cockatiels","거대 왕관앵무들"
"giant cockatiel hatchling","새끼 거대 왕관앵무"
"giant cockatiel hatchlings","새끼 거대 왕관앵무떼"
"A large monster in the form of a cockatiel.","왕관앵무의 모습을 한 거대한 괴수."
"A tiny, brightly colored parrot.  They are clever and learn many tricks.","밝은 색의 작은 앵무새, 똑똑하고 많은 재주를 배울 수 있다."
"peach-faced lovebird","분홍머리 모란앵무"
"peach-faced lovebirds","분홍머리 모란앵무떼"
"peach-faced lovebird hatchling","새끼 분홍머리 모란앵무"
"peach-faced lovebird hatchlings","새끼 분홍머리 모란앵무떼"
"loving nature","사랑스러운 특성"
"peach-faced lovebird man","분홍머리 모란앵무인간"
"peach-faced lovebird men","분홍머리 모란앵무인간들"
"peach-faced lovebird woman","여성 분홍머리 모란앵무인간"
"peach-faced lovebird women","여성 분홍머리 모란앵무인간들"
"A colorful person with the head and wings of a peach-faced lovebird.","분홍머리 모란앵무의 머리와 날개를 가진 화려한 인간."
"giant peach-faced lovebird","거대 분홍머리 모란앵무"
"giant peach-faced lovebirds","거대 분홍머리 모란앵무떼"
"giant peach-faced lovebird hatchling","새끼 거대 분홍머리 모란앵무"
"giant peach-faced lovebird hatchlings","새끼 거대 분홍머리 모란앵무떼"
"A huge monster taking the shape of a peach-faced lovebird.","분홍머리 모란앵무의 모습을 한 거대한 괴수."
"A tiny black and white bird.  It is one of the most intelligent of the natural creatures.","흑백색의 작은 새, 가장 똑똑한 생물 중 하나다."
"magpie","까치"
"magpies","까치떼"
"magpie hatchling","새끼 까치"
"magpie hatchlings","새끼 까치떼"
"fondness of shiny objects","반짝이는 물체 선호"
"magpie man","까치인간"
"magpie men","까치인간들"
"magpie woman","여성 까치인간"
"magpie women","여성 까치인간들"
"A person with the head and wings of a magpie.","까치의 머리와 날개를 가진 인간."
"giant magpie","거대 까치"
"giant magpies","거대 까치떼"
"giant magpie hatchling","새끼 거대 까치"
"giant magpie hatchlings","새끼 거대 까치떼"
"A huge monster in the shape of a magpie.","까치의 모습을 한 거대한 괴수."
"A tiny bird of prey.  It hovers above the ground and swoops down to snatch rodents and mice.","작은 맹금류, 급강하하여 설치류를 잡아먹는다."
"kestrel","황조롱이"
"kestrels","황조롱이떼"
"kestrel chick","새끼 황조롱이"
"kestrel chicks","새끼 황조롱이떼"
"hunting prowess","사냥 능력"
"kestrel man","황조롱이인간"
"kestrel men","황조롱이인간들"
"kestrel woman","여성 황조롱이인간"
"kestrel women","여성 황조롱이인간들"
"A person with the head and wings of a kestrel.","황조롱이의 머리와 날개를 가진 인간."
"giant kestrel","거대 황조롱이"
"giant kestrels","거대 황조롱이떼"
"giant kestrel chick","새끼 거대 황조롱이"
"giant kestrel chicks","새끼 거대 황조롱이떼"
"A huge monster in the shape of a kestrel.","황조롱이의 모습을 한 거대한 괴수."
"A small sea bird with great wings.  It soars through the sky and dives for food on the surface of the water.","커다란 날개를 가진 바다새, 하늘을 날다가 수면에 있는 먹이를 향해 달려든다."
"albatross","알바트로스"
"albatrosses","알바트로스떼"
"albatross hatchling","새끼 알바트로스"
"albatross hatchlings","새끼 알바트로스떼"
"large wings","커다란 날개"
"albatross man","알바트로스인간"
"albatross men","알바트로스인간들"
"albatross woman","여성 알바트로스인간"
"albatross women","여성 알바트로스인간들"
"A person with the head and wings of an albatross.","알바트로스의 머리와 날개를 가진 인간."
"giant albatross","거대 알바트로스"
"giant albatrosses","거대 알바트로스떼"
"giant albatross hatchling","새끼 거대 알바트로스"
"giant albatross hatchlings","새끼 거대 알바트로스떼"
"A huge monster in the shape of an albatross.","알바트로스의 모습을 한 거대한 괴수."
"A small, nocturnal bird of prey with large eyes and protruding feathers.","커다란 눈과 튀어나온 깃털을 가진 작은 야행성 맹금류."
"great horned owl","미국수리부엉이"
"great horned owls","미국수리부엉이떼"
"great horned owl chick","새끼 미국수리부엉이"
"great horned owl chicks","새끼 미국수리부엉이떼"
"piercing yellow eyes","꿰뚫어보는 노란 눈"
"ear tufts","귀털"
"great horned owl man","미국수리부엉이인간"
"great horned owl men","미국수리부엉이인간들"
"great horned owl woman","여성 미국수리부엉이인간"
"great horned owl women","여성 미국수리부엉이인간들"
"A feathered person with the head and wings of a great horned owl.","거대 뿔올빼미의 머리와 날개를 가진 깃털달린 인간."
"giant great horned owl","거대 미국수리부엉이"
"giant great horned owls","거대 미국수리부엉이떼"
"giant great horned owl chick","새끼 거대 미국수리부엉이"
"giant great horned owl chicks","새끼 거대 미국수리부엉이떼"
"A huge monster in the shape of a great horned owl.","미국수리부엉이의 모습을 한 거대한 괴수."
"A small bird of prey.","작은 맹금류."
"eagle","독수리"
"eagles","독수리떼"
"eaglet","새끼 독수리"
"eaglets","새끼 독수리떼"
"high soaring","고공비행"
"eagle man","독수리인간"
"eagle men","독수리인간들"
"eagle woman","여성 독수리인간"
"eagle women","여성 독수리인간들"
"A feathered person with the head and wings of an eagle.","독수리의 머리와 날개를 가진 깃털달린 인간."
"giant eagle","거대 독수리"
"giant eagles","거대 독수리떼"
"giant eagle chick","새끼 거대 독수리"
"giant eagle chicks","새끼 거대 독수리떼"
"A huge monster in the form of an eagle.","독수리의 모습을 한 거대한 괴수."
"A tiny bird with a large, brightly-colored bill.","크고 밝은 색의 부리를 가진 작은 새."
"hornbill","코뿔새"
"hornbills","코뿔새떼"
"hornbill chick","새끼 코뿔새"
"hornbill chicks","새끼 코뿔새떼"
"great bills","커다란 부리"
"hornbill man","코뿔새인간"
"hornbill men","코뿔새인간들"
"hornbill woman","여성 코뿔새인간"
"hornbill women","여성 코뿔새인간들"
"A feathered person with a brightly-colored bill.","밝은 색의 부리를 가진 깃털달린 인간."
"giant hornbill","거대 코뿔새"
"giant hornbills","거대 코뿔새떼"
"giant hornbill chick","새끼 거대 코뿔새"
"giant hornbill chicks","새끼 거대 코뿔새떼"
"A huge monster in the shape of a hornbill.","코뿔새의 모습을 한 거대한 괴수."
"A tiny, colorful bird.  It can be trained to be a pleasant companion.","작고 화려한 새, 즐거운 동반자로 훈련할 수 있다."
"masked lovebird","가면모란앵무"
"masked lovebirds","가면모란앵무떼"
"masked lovebird hatchling","새끼 가면모란앵무"
"masked lovebird hatchlings","새끼 가면모란앵무떼"
"masked lovebird man","가면모란앵무인간"
"masked lovebird men","가면모란앵무인간들"
"masked lovebird woman","여성 가면모란앵무인간"
"masked lovebird women","여성 가면모란앵무인간들"
"A colorful person with the head and wings of a masked lovebird.","가면모란앵무의 머리와 날개를 가진 화려한 인간."
"giant masked lovebird","거대 가면모란앵무"
"giant masked lovebirds","거대 가면모란앵무떼"
"giant masked lovebird hatchling","새끼 거대 가면모란앵무"
"giant masked lovebird hatchlings","새끼 거대 가면모란앵무떼"
"A huge monster in the form of a masked lovebird.","가면모란앵무의 모습을 한 거대한 괴수."
"A tiny brown bird found in open woodlands.","탁 트인 삼림 지대에서 볼수 있는 작은 갈색 새."
"bushtit","오목눈이"
"bushtits","오목눈이떼"
"bushtit hatchling","새끼 오목눈이"
"bushtit hatchlings","새끼 오목눈이떼"
"twittering groups","시끄러운 무리"
"bushtit man","오목눈이인간"
"bushtit men","오목눈이인간들"
"bushtit woman","여성 오목눈이인간"
"bushtit women","여성 오목눈이인간들"
"A person with the head and wings of a bushtit.","오목눈이의 머리와 날개를 가진 인간."
"giant bushtit","거대 오목눈이"
"giant bushtits","거대 오목눈이떼"
"giant bushtit hatchling","새끼 거대 오목눈이"
"giant bushtit hatchlings","새끼 거대 오목눈이떼"
"A huge monster in the form of a bushtit.","곤줄박이의 모습을 한 거대한 괴수."
"somewhat great size","somewhat 거대한 크기"
"A tiny, colorful, long-bodied insect.","작고, 알록달록하며, 몸이 긴 곤충."
"damselfly","실잠자리"
"damselflies","실잠자리들"
"damselfly man","실잠자리인간"
"damselfly men","실잠자리인간들"
"damselfly woman","여성 실잠자리인간"
"damselfly women","여성 실잠자리인간들"
"A person with the wings and head of a damselfly.","실잠자리의 머리와 날개를 가진 인간."
"giant damselfly","거대 실잠자리"
"giant damselflies","거대 실잠자리들"
"A large monster in the shape of a damselfly.","실잠자리의 모습을 한 거대한 괴수."
"A tiny nocturnal insect.  It flies toward flames in the night.","아주 작은 야행성 곤충. 밤에 불꽃을 향해 날아간다."
"moth","나방"
"moths","나방들"
"moth man","나방인간"
"moth men","나방인간들"
"moth woman","여성 나방인간"
"moth women","여성 나방인간들"
"A person with the head and wings of a moth.","나방의 머리와 날개를 가진 인간."
"giant moth","거대 나방"
"giant moths","거대 나방"
"A large monster in the form of a moth.","나방의 모습을 한 거대한 괴수."
"A tiny insect which uses its powerful legs to leap and make noise.","강력한 다리를 사용하여 도약하고 소리를 내는 작은 곤충."
"grasshopper","메뚜기"
"grasshoppers","메뚜기들"
"chirping","지저귐"
"great leaps","거대한 뜀박질"
"grasshopper man","메뚜기인간"
"grasshopper men","메뚜기인간들"
"grasshopper woman","여성 메뚜기인간"
"grasshopper women","여성 메뚜기인간들"
"A person with the head and legs of a grasshopper.","메뚜기의 머리와 다리를 가진 인간."
"giant grasshopper","거대 메뚜기"
"giant grasshoppers","거대 메뚜기들"
"A huge creature in the shape of a grasshopper.","메뚜기의 모습을 한 거대한 생물."
"A tiny yellow bug.  It has pincers and a stinging tail which can prove fatal.","집게발과 꼬리에 치명적일 수 있는 독침을 가진 작은 노란색 벌레. "
"bark scorpion","바크 전갈"
"bark scorpions","바크전갈들"
"pincers","핀서"
"stinging tail","독침 꼬리"
"frozen bark scorpion venom","얼어붙은 바크전갈 독"
"bark scorpion venom","바크전갈 독"
"boiling bark scorpion venom","기화된 바크전갈 독"
"bark scorpion sting","바크전갈 독침"
"stung","쏘인"
"bark scorpion man","바크전갈인간"
"bark scorpion men","바크전갈인간들"
"bark scorpion woman","여성 바크전갈인간"
"bark scorpion women","여성 바크전갈인간들"
"A person with the head, pincers and tail of a bark scorpion.","바크 전갈의 머리와 집게 그리고 꼬리를 가진 인간."
"giant bark scorpion","거대 바크전갈"
"giant bark scorpions","거대 바크전갈들"
"A huge monster in the form of a bark scorpion.","바크전갈의 모습을 한 거대한 괴수."
"A tiny green insect.  It has long, distinctive forelimbs that it uses to catch its prey.","작은 녹색 곤충. 먹이를 잡는 데 사용하는 길고 독특한 앞다리가 있다."
"mantis","사마귀"
"mantises","사마귀들"
"predatory nature","약탈 본성"
"grasping legs","다리를 붙잡다"
"mantis man","사마귀인간"
"mantis men","사마귀인간들"
"mantis woman","여성 사마귀인간"
"mantis women","여성 사마귀인간들"
"A green person with the head and arms of a mantis.","사마귀의 머리와 날개를 가진 초록빛 인간."
"giant mantis","거대 사마귀"
"giant mantises","거대 사마귀들"
"A large monster in the shape of a mantis.","사마귀의 모습을 한 거대한 괴수."
"A tiny, blood-sucking bug found in wooded areas.","삼림지대에서 발견되는 아주 작은 흡혈 곤충."
"tick","진드기"
"ticks","진드기들"
"ability to expand","확장하는 능력"
"tick man","수컷 진드기"
"tick men","수컷 진드기들"
"tick woman","암컷 진드기"
"tick women","암컷 진드기들"
"A person with the head and legs of a tick.","진드기의 머리와 다리를 가진 인간."
"giant tick","거대 진드기"
"giant ticks","거대 진드기들"
"A large monster taking the shape of a tick.","진드기의 모습을 한 거대한 괴수."
"A tiny parasitic insect.  It feeds on skin and blood.","작은 기생 곤충. 피부 위에서 피를 빨아 먹는다."
"louse","이"
"lice","이들"
"ability to infest","감염 시키는 능력"
"louse man","이인간"
"louse men","이인간들"
"louse woman","여성 이인간"
"louse women","여성 이인간들"
"A person with the head and legs of a louse.","이의 머리와 다리를 가진 인간."
"giant louse","거대 이"
"giant lice","거대 이들"
"A huge monster in the shape of a louse.","이의 모습을 한 거대한 괴수."
"A tiny pest insect.  It feeds on both crops and other bugs.","작은 해충. 작물과 다른 벌레를 먹는다."
"thrips","총재벌레"
"prolific breeding","다산"
"thrips man","수컷 총재벌레"
"thrips men","수컷 총재벌레들"
"thrips woman","암컷 총재벌레"
"thrips women","암컷 총재벌레들"
"A person with the head and wings of a thrips.","총채벌레의 머리와 날개를 가진 인간."
"giant thrips","거대 총재벌레"
"A huge monster in the form of a thrips.","총채벌레의 모습을 한 거대한 괴수."
"A tiny land mollusk.  It can be found under rotten logs and in gardens.","작은 육지 연체 동물. 썩은 통나무 밑과 정원에서 찾을 수 있다."
"slug","민달팽이"
"slugs","민달팽이들"
"slime trails","점액 자국"
"slug man","수컷 민달팽이"
"slug men","수컷 민달팽이들"
