"major","comandante"
"the Sand","la arena"
"the Desert","el Desierto"
"the Undergrowth","la maleza"
"the Canopy","el Palio"
"the Mountain","la Monta¤a"
"the Peaks","los Picos"
"the Mountains","las Monta¤as"
"the Sea","el Mar"
"the Deep","la Profundidad"
"the Waves","las Olas"
"the Ocean","el Oceano"
"the Waters","las Aguas"
"the Ice","el Hielo"
"the Glacier","el Glaciar"
"the Frozen Wastes","los bald¡os helados"
"the Tundra","la Tundra"
"the Savanna","la sabana"
"the Plains","las Plan¡cies"
"the Grassland","el prado"
"the Hills","las colinas"
"the fiery bowels of the earth","los ardientes intestinos de la tierra"
"the Fiery Depths","las Profundidades Ardientes"
"the Magma","El magma"
"the Flames","las llamas"
"the Caverns","las cavernas"
"the Underground","el subterraneo"
"a population of ","una poblaci¢n de "
" corpses"," cadaveres"
" corpse"," cadaver"
"the Creature","la Criatura"
"the Coins","las monedas"
"the Art","el arte"
"an unnamed group","un grupo sin nombre"
"the People","la gente"
"the Settlement","el asentamiento"
"the Group","el grupo de"
"the Traders","los Comerciantes"
"the Company","la Compa¤¡a"
"the Guild","la Alianza"
"the Vessel","el recipiente"
"the Migration","la migraci¢n"
"the Troupe","la Compa¤¡a"
"the Show","la Nieve"
"the Faith","la fe"
"the Religion","la Religi¢n"
"the Fighters","los Combatientes"
"the Criminals","los Criminales"
"the Outcasts","los marginados"
"philosophy:logic:formal reasoning","filosof¡a:l¢gica:razonamiento formal"
"philosophy:logic:deductive reasoning","filosof¡a:l¢gica:raonamiento deductivo"
"philosophy:logic:syllogistic logic","filosof¡a:l¢gica:l¢gica silog¡stica"
"philosophy:logic:hypothetical syllogisms","filosof¡a:l¢gica:silog¡smo hipot‚tico"
"philosophy:logic:propositional logic","filosof¡a:l¢gica:l¢gica proposicional"
"philosophy:logic:dialectic reasoning","filosof¡a:l¢gica:razonamiento dial‚ctico"
"philosophy:logic:analogical inference","filosof¡a:l¢gica:inferencia anal¢gica"
"philosophy:ethics:applied medical","filosof¡a:‚tica:‚tica m‚dica"
"philosophy:ethics:individual value","filosof¡a:‚tica:valor individual"
"philosophy:epistemology:perception","filosof¡a:epistemolog¡a:percepci¢n"
"philosophy:epistemology:truth","filosof¡a:epistemolog¡a:verdad"
"philosophy:ethics:state consequentialism","filosof¡a:‚tica:consecuencialismo estatal"
"philosophy:epistemology:justification","filosof¡a:epistemolog¡a:justificaci¢n"
"philosophy:metaphysics:time","filosof¡a:metaf¡sica:tiempo"
"philosophy:metaphysics:existence","filosof¡a:metaf¡sica:existencia"
"philosophy:epistemology:belief","filosof¡a:epistemolog¡a:creencia"
"philosophy:metaphysics:mind body","filosof¡a:metaf¡sica:mente cuerpo"
"philosophy:metaphysics:events","filosof¡a:metaf¡sica:eventos"
"philosophy:metaphysics:wholes and parts","filosof¡a:metaf¡sica:enteros y partes"
"philosophy:metaphysics:objects and properties","filosof¡a:metaf¡sica:objetos y propiedades"
"philosophy:metaphysics:processes","filosof¡a:metaf¡sica:procesos"
"philosophy:ethics:applied interpersonal conduct","filosof¡a:‚tica:‚tica de la conducta interpersonal"
"philosophy:ethics:applied military","filosof¡a:‚tica:‚tica militar"
"philosophy:metaphysics:causation","filosof¡a:metaf¡sica:causalidad"
"philosophy:specialized:language etymology","filosof¡a:especializada:etimolog¡a de la lengua"
"philosophy:specialized:language grammar","filosof¡a:especializada:gram tica de la lengua"
"philosophy:specialized:education","filosof¡a:especializada:educaci¢n"
"philosophy:specialized:politics diplomacy","filosof¡a:especializada:diplomacia pol¡tica"
"philosophy:specialized:politics social welfare","filosof¡a:especializada:pol¡ticas del bienestar social"
"philosophy:specialized:politics economic policy","filosof¡a:especializada:pol¡ticas econ¢micas"
"philosophy:specialized:politics government forms","filosof¡a:especializada:pol¡ticas gubernamentales"
"philosophy:specialized:language dictionary","filosof¡a:especializada:diccionario de la lengua"
"philosophy:aesthetics:value of art","filosof¡a:est‚tica:valor del arte"
"philosophy:aesthetics:nature of beauty","filosof¡a:est‚tica:naturaleza de la belleza"
"philosophy:logic:direct inference","filosof¡a:l¢gica:inferencia directa"
"philosophy:logic:inductive reasoning","filosof¡a:l¢gica:razonamiento inductivo"
"mathematics:method:proof by contradiction","matem ticas:m‚todo:prueba por contradicci¢n"
"mathematics:notation:zero","matem ticas:notaci¢n:cero"
"mathematics:notation:large numbers","matem ticas:notaci¢n:n£meros grandes"
"mathematics:notation:positional","matem ticas:notaci¢n:posicional"
"mathematics:geometry:basic objects","matem ticas:geometr¡a:figuras b sicas"
"mathematics:method:exhaustion","matem ticas:m‚todo:agotamiento"
"mathematics:geometry:similar and congruent triangles","matem ticas:geometr¡a:tri ngulos similares y congruentes"
"mathematics:geometry:geometric mean theorem","matem ticas:geometr¡a:teorema geom‚trico"
"mathematics:geometry:pythagorean theorem","matem ticas:geometr¡a:teorema de Pit goras"
"mathematics:geometry:inscribed triangle on diameter is right","matem ticas:geometr¡a:tri ngulo inscrito en un di metro"
"mathematics:geometry:isosceles base angles equal","matem ticas:geometr¡a:is¢sceles con  ngulos iguales"
"mathematics:geometry:pythagorean triples small","matem ticas:geometr¡a:ternas pitag¢ricas"
"mathematics:geometry:existence of incommensurable ratios","matem ticas:geometr¡a:existencia de proporciones inconmensurables"
"mathematics:geometry:pythagorean triples 4 digit","matem ticas:geometr¡a:ternas pitag¢ricas de 4 d¡gitos"
"mathematics:geometry:pythagorean triples 3 digit","matem ticas:geometr¡a:ternas pitag¢ricas de 3 d¡gitos"
"mathematics:method:axiomatic reasoning","matem ticas:m‚todo:razonamiento axiom tico"
"mathematics:geometry:volume of pyramid","matem ticas:geometr¡a:volumen de una pir mide"
"mathematics:numbers:algorithm for computing gcd","matem ticas:n£meros:algoritmo para conseguir un mcd"
"mathematics:numbers:unique prime factorization","matem ticas:n£meros:factorizaci¢n £nica de primos "
"mathematics:geometry:volume of cone","matem ticas:geometr¡a:volumen de un cono"
"mathematics:numbers:division algorithm","matem ticas:n£meros:algoritmo para dividir"
"mathematics:geometry:pi to 4 digits","matem ticas:geometr¡a:hasta 4 d¡gitos de pi"
"mathematics:geometry:volume of sphere","matem ticas:geometr¡a:volumen de una esfera"
"mathematics:geometry:table of chord values","matem ticas:geometr¡a:tablas de cuerdas"
"mathematics:geometry:area of circle","matem ticas:geometr¡a: rea de c¡rculo"
"mathematics:geometry:area of triangle from side lengths","matem ticas:geometr¡a: rea de un tri ngulo por la longitud de sus lados"
"mathematics:geometry:definitions and basic properties of conic sections","matem ticas:geometr¡a:definici¢n y propiedades b sicas de secciones c¢nicas"
"mathematics:numbers:sieve algorithm for primes","matem ticas:n£meros:algoritmo de la criba para primos "
"mathematics:geometry:area enclosed by line and parabola","matem ticas:geometr¡a: rea dencerrado por una linea y una par bola"
"mathematics:numbers:chinese remainder algorithm","matem ticas:n£meros:algoritmo chino del resto"
"mathematics:numbers:root 2 to 5 digits","matem ticas:n£meros:ra¡z de 2 a 5 d¡gitos"
"mathematics:numbers:infinite primes","matem ticas:n£meros:infinitos primos"
"mathematics:numbers:root 2 irrational","matem ticas:n£meros:ra¡z cuadrada de 2 irracional"
"mathematics:geometry:surface area of sphere","matem ticas:geometr¡a: rea de la superficie de una esfera"
"mathematics:algebra:finite summation formulas","matem ticas: lgebra:f¢rmulas de adici¢n finita"
"mathematics:algebra:solving linear systems","matem ticas: lgebra:resoluci¢n de sistemas lineales"
"mathematics:algebra:balancing and completion","matem ticas: lgebra:reintegraci¢n y comparaci¢n"
"mathematics:algebra:quadratic by completing square","matem ticas: lgebra:cuadr tica por completaci¢n de cuadrados"
"mathematics:algebra:quadratic formula","matem ticas: lgebra:ecuaci¢n cuadr tica"
"mathematics:algebra:pascal's triangle","matem ticas: lgebra:tri ngulo de Pascal"
"mathematics:geometry:angle sum difference trig identities","matem ticas:geometr¡a:suma y resta de  ngulos en identidades trigonom‚tricas"
"mathematics:geometry:law of sines","matem ticas:geometr¡a:teorema de los senos"
"mathematics:notation:syncopated algebra","matem ticas:notaci¢n:notaci¢n algebraica"
"mathematics:algebra:solving higher order polynomials","matem ticas: lgebra:resoluci¢n de polinomios de orden superior"
"mathematics:geometry:properties of chords","matem ticas:geometr¡a:propiedades de cuerdas"
"mathematics:algebra:divergence of harmonic series","matem ticas: lgebra:divergencia de series arm¢nicas"
"mathematics:notation:early symbols for operations","matem ticas:notaci¢n:primeros s¡mbolos para operaciones"
"history:theory:historical causation","historia:teor¡a:causalidad hist¢rica"
"history:sourcing:personal interviews","historia:abastecimiento:entrevistas personales"
"history:sourcing:role of state bias and propaganda","historia:abastecimiento:rol de un sesgo estatal y la propaganda"
"history:sourcing:role of systemic bias","historia:abastecimiento:rol de un sesgo intr¡nseco"
"history:sourcing:basic reliability","historia:abastecimiento:fiabilidad b sica"
"history:theory:historical cycles","historia:teor¡a:ciclos hist¢ricos"
"history:form:comparative biography","historia:forma:biograf¡a comparativa"
"history:form:biography","historia:forma:biograf¡a"
"history:theory:social conflict","historia:teor¡a:conflicto social"
"history:form:biographical dictionaries","historia:forma:diccionario biogr fico"
"history:form:cultural history","historia:forma:historia cultural"
"history:form:encyclopedia","historia:forma:enciclopedia"
"history:form:genealogy","historia:forma:genealog¡a"
"history:form:autobiographical adventure","historia:forma:aventura autobiogr fica"
"history:form:cultural comparison","historia:forma:comparaci¢n cultural"
"history:form:treatise on tech evolution","historia:forma:tratado sobre la evoluci¢n tecnol¢gica"
"history:sourcing:basic archaeology","historia:abastecimiento:arqueolog¡a b sica"
"history:form:alternate history","historia:forma:historia alternativa"
"history:sourcing:role of cultural differences","historia:abastecimiento:rol de las diferencias culturales"
"astronomy:height of tides vs moon and sun","astronom¡a:altura de las mareas por la luna y el sol"
"astronomy:tides and the moon","astronom¡a:las mareas y la luna"
"astronomy:path of the moon","astronom¡a:trayectoria de la luna"
"astronomy:summer winter moon","astronom¡a:luna de verano e invierno"
"astronomy:phases of the moon","astronom¡a:fases de la luna"
"astronomy:summer winter sun","astronom¡a:sol de verano e invierno"
"astronomy:heliocentric model","astronom¡a:modelo helioc‚ntrico"
"astronomy:geocentric model","astronom¡a:modelo geoc‚ntrico"
"astronomy:daylight variation with solar year","astronom¡a:variaci¢n de luz diaria en un a¤o solar"
"astronomy:relationship between lunar solar year","astronom¡a:relaci¢n entre a¤o solar y lunar"
"astronomy:dates of lunar and solar eclipses","astronom¡a:fechas de eclipses solares y lunares"
"astronomy:star color classification","astronom¡a:clasificaci¢n de estrellas por su color"
"astronomy:star catalogues 1000","astronom¡a:1000 cat logos de estrellas"
"astronomy:star catalogues 100","astronom¡a:100 cat logos de estrellas"
"astronomy:star charts","astronom¡a:cartas astrales"
"astronomy:star magnitude classification","astronom¡a:clasificaci¢n de estrellas por su magnitud"
"astronomy:method path models","astronom¡a:m‚todo para modelos de trayectoria"
"astronomy:method empirical observation","astronom¡a:observaciones por el m‚todo emp¡rico"
"astronomy:precession of equinoxes","astronom¡a:precesi¢n de los equinoccios"
"astronomy:shape of the world","astronom¡a:forma del mundo"
"naturalist:method:dissection","naturalista:M‚todo:disecci¢n"
"naturalist:observation:anatomy","naturalista:observaci¢n:anatom¡a"
"naturalist:theory:comparative anatomy","naturalista:teor¡a:anatom¡a comparativa"
"naturalist:theory:classification by physical features","naturalista:teor¡a:clasificaci¢n por caracter¡sticas f¡sicas"
"naturalist:observation:migration patterns","naturalista:observaci¢n:patrones de migraci¢n"
"naturalist:observation:reproductive behavior","naturalista:observaci¢n:comportamiento reproductivo"
"naturalist:observation:foraging behavior and diet","naturalista: observaci¢n: comportamiento de b£squeda de alimento y dieta"
"naturalist:observation:diseases","naturalista:observaci¢n:enfermedades"
"naturalist:observation:social behavior","naturalista:observaci¢n:comportamiento social"
"naturalist:theory:food chain","naturalista:teor¡a:cadena alimentaria"
"naturalist:theory:climatic adaptation","naturalista:teor¡a:adaptaci¢n clim tica"
"naturalist:theory:struggle for existence","naturalista:teor¡a:lucha por la existencia"
"naturalist:observation:embriological development","naturalista: observaci¢n: desarrollo embriol¢gico."
"chemistry:classification:combustibles","qu¡mica: clasificaci¢n: combustibles."
"chemistry:classification:ores","qu¡mica: clasificaci¢n: minerales"
"chemistry:metallurgy:alloys","quimica:metalurgia:aleaciones"
"chemistry:classification:scratch test","qu¡mica:clasificaci¢n:ara¤azo test"
"chemistry:classification:elemental theory","qu¡mica: clasificaci¢n: teor¡a elemental"
"chemistry:chemicals:adhesives","qu¡mica:productos qu¡micos:adhesivos"
"chemistry:laboratory:blast furnace","qu¡mica:laboratorio:alto horno"
"chemistry:classification:alkali and acids","Qu¡mica: clasificaci¢n:  lcali y  cidos."
"chemistry:laboratory:theory of evaporation","qu¡mica:laboratorio:teor¡a de la evaporaci¢n"
"chemistry:laboratory:theory of distillation","qu¡mica:laboratorio:teor¡a de la destilaci¢n"
"chemistry:laboratory:theory of liquid-liquid extraction","Qu¡mica: laboratorio: teor¡a de la extracci¢n l¡quido-l¡quido."
"chemistry:laboratory:alembic","qu¡mica:laboratorio:alambique"
"chemistry:laboratory:systematic experiments","qu¡mica: laboratorio: experimentos sistem ticos"
"chemistry:laboratory:crucible","qu¡mica:laboratorio:crisol"
"chemistry:laboratory:glass funnel","qu¡mica:laboratorio:embudo de vidrio"
"chemistry:laboratory:glass vial","qu¡mica:laboratorio:vial de vidrio"
"chemistry:laboratory:glass beaker","qu¡mica:laboratorio:rompevidrios"
"chemistry:laboratory:glass flask","qu¡mica:laboratorio:matraz de vidrio"
"chemistry:chemicals:nitric acid","qu¡mica: productos qu¡micos:  cido n¡trico"
"chemistry:laboratory:lab ovens","qu¡mica:laboratorio:hornos de laboratorio"
"chemistry:laboratory:glass retort","qu¡mica:laboratorio:r‚plica de vidrio"
"chemistry:laboratory:glass ampoule","qu¡mica: laboratorio: ampolla de vidrio"
"chemistry:chemicals:aqua regia","qu¡mica: sustancias qu¡micas: agua regia"
"chemistry:chemicals:sulfuric acid","qu¡mica:productos qu¡micos: cido sulf£rico"
"geography:surveying:cartographical","geograf¡a: topograf¡a: cartogr fica"
"geography:surveying:triangulation","geograf¡a:topograf¡a:triangulaci¢n"
"geography:cartography:basic","geograf¡a: cartograf¡a: b sica"
"geography:surveying:staff","geograf¡a:topograf¡a:personal"
"geography:surveying:basic","geograf¡a: topograf¡a: b sica"
"geography:surveying:land","geograf¡a: topograf¡a: tierra"
"geography:cartography:distance scale","geograf¡a:cartograf¡a:escala de distancia."
"geography:cartography:grid system","geograf¡a: cartograf¡a: sistema de cuadr¡cula"
"geography:cartography:geological","geograf¡a:cartograf¡a:geol¢gica"
"geography:surveying:engineering","geograf¡a:inspeccionando:ingenier¡a"
"geography:surveying:military","geograf¡a: agrimensura: militar"
"geography:cartography:height measurements","geograf¡a:cartograf¡a:medidas de altura"
"geography:theory:wind patterns","geograf¡a:teor¡a:patrones de viento"
"geography:theory:delta formation","geograf¡a:teor¡a:formaci¢n del delta"
"geography:form:atlas","geograf¡a: forma: atlas"
"geography:cartography:economic","geograf¡a:cartograf¡a:econ¢mica"
"geography:method:economic data collection","geograf¡a:m‚todo:recopilaci¢n de datos econ¢micos"
"geography:theory:origin of rainfall from evap condense","Geograf¡a: teor¡a: origen de la lluvia a partir del condensado de evaporaci¢n."
"geography:cartography:map projections","geograf¡a:cartograf¡a:proyecciones de mapa"
"geography:cartography:accurate maps","geograf¡a:cartograf¡a:mapas precisos"
"geography:theory:latitude climate zones","geograf¡a: teor¡a: latitud zonas clim ticas"
"geography:theory:water cycle","geograf¡a:teor¡a:ciclo del agua"
"medicine:theory:disease and fouled water","medicina:teor¡a:enfermedad y agua contaminada"
"medicine:method:physical examination","medicina: m‚todo: examen f¡sico"
"medicine:method:autopsy","medicina:m‚todo:autopsia"
"medicine:theory:prognosis","medicina:teor¡a:pron¢stico"
"medicine:tool:herbal remedies","medicina:herramienta:remedios herbales"
"medicine:tool:animal remedies","medicina:herramienta:remedios animales"
"medicine:tool:bandages","medicina: herramienta: vendas"
"medicine:theory:disease classification","medicina:teor¡a:clasificaci¢n de enfermedades"
"medicine:theory:endemic disease","medicina: teor¡a: enfermedad end‚mica"
"medicine:theory:acute and chronic conditions","medicina:teor¡a:condiciones graves y cr¢nicas"
"medicine:theory:toxicology","medicina:teor¡a:toxicolog¡a"
"medicine:theory:epidemic disease","medicina:teor¡a:enfermedad epid‚mica"
"medicine:theory:relapse","medicina:teor¡a:reca¡da"
"medicine:theory:paroxysm","medicina:teor¡a:paroxismo"
"medicine:theory:exacerbation","medicina:teor¡a:exacerbaci¢n"
"medicine:theory:convalescence","medicina:teoria:convalescencia"
"medicine:theory:fracture classification","medicina:teor¡a:clasificaci¢n de fracturas"
"medicine:method:fracture treatment","medicina:m‚todo:tratamiento de fracturas"
"medicine:method:treatment of traumatic injuries","medicina:m‚todo:tratamiento de heridas traum ticas"
"medicine:tool:traction bench","medicina:herramienta:banco de tracci¢n"
"medicine:method:surgery excision","medicina: m‚todo: extirpaci¢n quir£rgica"
"medicine:tool:orthopedic cast","medicina:silla:yeso ortop‚dico"
"medicine:method:fracture immobilization","medicina:m‚todo:inmovilizaci¢n de fracturas."
"medicine:method:surgery incision","medicina:m‚todo:cirug¡a incisi¢n"
"medicine:method:lithotomy surgery","medicina:metodo:cirug¡a de litotom¡a"
"medicine:method:tracheotomy surgery","medicina:m‚todo:cirug¡a de traqueotom¡a"
"medicine:method:hernia surgery","medicina:m‚todo:cirug¡a de hernia"
"medicine:method:surgery scraping","medicina:m‚todo:extirpado quir£rgico"
"medicine:method:surgery suturing","medicina:m‚todo:cirug¡a de sutura"
"medicine:method:surgery probing","medicina:m‚todo:cirug¡a sondeo"
"medicine:method:surgery draining","medicina:m‚todo:drenado quir£rgico"
"medicine:method:surgery ligature","medicina:m‚todo:cirug¡ade ligadura"
"medicine:theory:surgical models","medicina:teor¡a:modelos quir£rgicos."
"medicine:tool:mud bags as surgical models","medicina:herramienta:bolsas de barro como modelos quir£rgicos"
"medicine:tool:plants as surgical models","medicina:herramienta:plantas como modelos quir£rgicos."
"medicine:tool:animals as surgical models","Medicina: herramienta: animales como modelos quir£rgicos."
"medicine:theory:specialized surgical instruments","medicina:teor¡a:instrumentos quir£rgicos especializados"
"medicine:tool:forceps","medicina:herramienta:f¢rceps"
"medicine:tool:scalpel","medicina:herramienta:escalpelo"
"medicine:tool:surgical scissors","medicina:herramienta:tijeras quir£rjicas"
"medicine:method:cauterization","medicina:m‚todo:cauterizaci¢n"
"medicine:method:cataract surgery","medicina:m‚todo:cirug¡a de cataratas"
"medicine:tool:surgical needles","medicina: herramienta: agujas quir£rgicas"
"medicine:method:anesthesia","medicina:m‚todo:anestesia"
"medicine:theory:classification of bodily fluids","medicina:teor¡a:clasificaci¢n de fluidos corporales"
"medicine:theory:anatomical studies","medicina:teor¡a:estudios anat¢micos"
"medicine:theory:pulmonary medicine","medicina:teor¡a:medicina pulmonar"
"medicine:theory:eye anatomy","medicina:teor¡a:anatim¡a del ojo"
"medicine:theory:reaction time","medicina:teor¡a:tiempo de reacci¢n"
"medicine:theory:nervous system function","medicina:teor¡a:funci¢n del sistema nervioso"
"medicine:theory:motor vs sensory nerves","medicina:teor¡a:motor vs nervios sensitivos"
"medicine:theory:blood vessels","medicina:teor¡a:vasos sangu¡neos"
"medicine:theory:the voice","medicina:teor¡a:la voz"
"medicine:theory:comparative anatomy","medicina:teor¡a:anatom¡a comparativa"
"medicine:theory:pulmonary circulation","medicina:teor¡a:circulaci¢n pulmonar"
"medicine:theory:classification of muscles","medicina:teor¡a:clasificaci¢n de los m£sculos"
"medicine:tool:dedicated hospitals","medicina:herramienta:hospitales dedicados"
"medicine:theory:treatment of mental illnesses","medicina:teor¡a:tratamiento de enfermedades mentales"
"medicine:theory:classification of mental illnesses","medicina:teor¡a:clasificaci¢n de las enfermedades mentales"
"medicine:method:professional hospital staff","medicina:m‚todo:personal profesional del hospital"
"medicine:method:medical school","medicina:m‚todo:escuela de medicina"
"medicine:method:hospital lab","medicina:m‚todo:laboratorio del hospital"
"medicine:method:specialized wards","medicina:m‚todo:sala especializada"
"medicine:method:asylum for mentally ill","medicina: m‚todo: asilo para enfermos mentales"
"engineering:horology:shadow clock","ingenier¡a: horolog¡a: reloj de sombra"
"engineering:horology:water clock","ingenier¡a: relojer¡a: reloj de agua"
"engineering:horology:conical water clock","ingenier¡a: relojer¡a: reloj de agua c¢nico"
"engineering:horology:water clock reservoir","ingenier¡a:relojer¡a:embalse de reloj de agua"
"engineering:horology:astrarium","ingenier¡a: relojer¡a: astrario"
"engineering:horology:hourglass","ingenier¡a: relojer¡a: reloj de arena"
"engineering:horology:mechanical clock","ingenier¡a: relojer¡a: reloj mec nico"
"engineering:machine:theory of pulley","ingenier¡a:m quina:teor¡a de la polea"
"engineering:machine:pulley","ingenier¡a:m quina:polea"
"engineering:machine:theory of wheel-and-axle","ingenier¡a: m quina: teor¡a de la rueda y el eje"
"engineering:machine:screw","ingenier¡a:m quina:tornillo"
"engineering:machine:theory of screw","ingenieria: maquina: teoria de tornillo"
"engineering:machine:windlass","ingenier¡a:m quina:molinete"
"engineering:machine:lever","ingenier¡a:m quina:palanca"
"engineering:machine:theory of lever","ingenier¡a: m quina: teor¡a de la palanca"
"engineering:machine:theory of wedge","ingenier¡a: m quina: teor¡a de la cu¤a"
"engineering:machine:straight-beam balance","ingenier¡a: m quina: balanc¡n de viga recta"
"engineering:machine:tumbler lock","ingenier¡a:m quina:cerradura de tambor"
"engineering:machine:warded lock","ingenier¡a:m quina:cerradura protegida"
"engineering:machine:theory of gears","ingenier¡a:m quina:teor¡a de engranajes"
"engineering:machine:padlock","ingenier¡a: m quina: candado"
"engineering:machine:water-powered sawmill","ingenier¡a: m quina: aserradero accionado por agua"
"engineering:machine:camshaft","ingenier¡a: m quina:  rbol de levas"
"engineering:machine:chariot odometer","ingenier¡a:m quina:carro od¢metro"
"engineering:machine:differential gear","ingenier¡a:m quina:engranaje diferencial"
"engineering:machine:mechanical compass","ingenier¡a:m quina:br£jula mec nica"
"engineering:machine:chain drive","ingenier¡a:m quina:cadena de accionamiento"
"engineering:fluid:theory of siphon","ingenier¡a:fluido:teor¡a del sif¢n"
"engineering:machine:balance wheel","ingenier¡a:m quina:rueda de balance"
"engineering:machine:verge escapement","ingenieria:maquina:foliot"
"engineering:fluid:valves","ingenier¡a:fluido:v lvulas"
"engineering:fluid:force pump","ingenier¡a: fluido: bomba de fuerza"
"engineering:optics:crystal lens","ingenier¡a:¢ptica:lente de cristal"
"engineering:optics:water-filled spheres","ingenier¡a:¢ptica:esferas rellenas de agua"
"engineering:optics:glass lens","ingenier¡a:¢ptica:lente de vidrio"
"engineering:optics:camera obscura","ingenier¡a:¢ptica:c mara oscura"
"engineering:optics:parabolic mirror","ingenier¡a:¢ptica:espejo parab¢lico"
"engineering:optics:theory of color","ingenier¡a:¢pticas:teor¡a del color"
"engineering:design:models and templates","ingenier¡a: dise¤o: modelos y plantillas"
"engineering:optics:law of refraction","ingenier¡a:¢ptica:ley de refracci¢n"
"engineering:optics:theory of rainbows","ingenier¡a:¢pticas:teor¡a de arcoiris"
"engineering:construction:wood lamination","ingenier¡a:construcci¢n:laminado de madera"
"engineering:astronomy:armillary sphere","ingenier¡a:astronom¡a:esfera armilar"
"engineering:astronomy:astrolabe","ingenier¡a: astronom¡a: astrolabio"
"engineering:astronomy:dioptra","ingenier¡a:astronom¡a:dioptra"
"engineering:astronomy:spherical astrolabe","ingenier¡a:astronom¡a:astrolabio esf‚rico"
"engineering:machine:water-powered trip hammer","ingenier¡a: m quina: martillo viajero accionado por agua"
"engineering:astronomy:orrery","ingenier¡a:astronom¡a:planetario"
"engineering:astronomy:mural instrument","ingenier¡a:astronom¡a:instrumento mural"
"engineering:machine:double-acting piston bellows","ingenier¡a: m quina: fuelle de pist¢n de doble efecto"
"engineering:optics:cause of twilight","ingenier¡a:¢ptica:causa del crep£sculo"
"engineering:optics:atmospheric refraction","ingenier¡a: ¢ptica: refracci¢n atmosf‚rica"
"engineering:fluid:archimedes principle","ingenier¡a:fluido:principio de arqu¡medes"
"engineering:optics:height of atmosphere","ingenier¡a:¢ptica:altura de la atm¢sfera"
"engineering:machine:bellows","ingenier¡a:m quina:fuelles"
"engineering:machine:crank","ingenier¡a: m quina: manivela"
"engineering:machine:piston","ingenier¡a:m quina:pist¢n"
"engineering:machine:water-powered piston bellows","ingenier¡a: m quina: fuelle de pist¢n accionado por agua"
"engineering:machine:trip hammer","ingenier¡a:m quina:martillo disparador"
"engineering:machine:water wheel","ingenier¡a: m quina: rueda hidr ulica"
"individual happiness","felicidad individual"
"perception","percepci¢n"
"ethics and the state","‚tica y el estado"
"justification","justificaci¢n"
"time","tiempo"
"existence","existencia"
"belief","creencia"
"mind and body","mente y cuerpo"
"events","eventos"
"wholes and parts","enteros y partes"
"objects and properties","objetos y propiedades"
"processes","procesos"
"interpersonal ethics","‚tica interpersonal"
"military ethics","‚tica militar"
"causation","causalidad"
"education","educaci¢n"
"social welfare","bienestar social"
"economic policy","pol¡tica econ¢mica"
"proof by contradiction","prueba por contradicci¢n"
"nothingness","la nada"
"negative quantities","cantidades negativas"
"very large numbers","n£meros muy grandes"
"geometric objects","objetos geom‚tricos"
"exhaustion","agotamiento"
"congruent triangles","Tri ngulos congruentes"
"right triangles","tri ngulos correctos"
"inscribed triangles","tri ngulos inscritos"
"isosceles triangles","tri ngulos de is¢celes"
"incommensurable ratios","Proporciones Inconmensurables"
"pyramids","pir mides"
"common divisors","divisores comunes"
"prime divisors","divisores primos"
"cones","conos"
"division","divisi¢n"
"chord lengths","longitudes del acorde"
"circles","c¡rculos"
"conic sections","secciones c¢nicas"
"prime numbers","n£meros primos"
"parabolas","par bola"
"remainders","restos"
"diagonals","diagonales"
"large sums","grandes sumas"
"systems of equations","sistemas de ecuaciones"
"quadratic equations","ecuaciones cuadr ticas"
"powers","poderes"
"triangle and circles","tri ngulo y c¡rculos"
"equations","ecuaciones"
"chords","cuerda"
"the harmonic series","las series arm¢nicas"
"notation","notaci¢n"
"historical causation","Casualidad hist¢rica"
"personal interviews","entrevistas personales"
"state bias","sesgo del estado"
"systemic bias","sesgo sistem tico"
"source reliability","confiabilidad de la fuente"
"cycles","ciclos"
"community conflict","conflicto de la comunidad"
"community bonds","lazos comunitarios"
"biographical dictionaries","diccionarios biogr ficos"
"the encyclopedia","la enciclopedia"
"autobiographical adventures","aventuras autobiogr ficas"
"technological evolution","evoluci¢n tecnol¢gica"
"archaeology","arqueolog¡a"
"cultural differences","diferencias culturales"
"tidal height","altura de la marea"
"the moon and tides","la luna y las mareas"
"the moon's path","el camino de la luna"
"the moon and seasons","la Luna y las Mareas"
"moon phases","fases lunares"
"the sun and seasons","el sol y sus fases"
"the heliocentric model","el modelo helioc‚ntrico"
"the geocentric model","el modelo geoc‚ntrico"
"daylight and seasons","luz del d¡a y las estaciones"
"lunar and solar years","a¤os lunares y solares "
"the color of stars","el color de las estrellas"
"extensive star catalogues","cat logos extensivos de estrellas"
"star catalogues","cat logos de estrellas"
"star charts","cartas astrales"
"the brightness of stars","la luminiscencia de las estrellas"
"empirical observation","observaci¢n empirica"
"equinoxes","equinoccios"
"dissection","disecci¢n"
"anatomy","anatom¡a"
"comparative anatomy","anatom¡a comparativa"
"physical features","caracter¡sticas f¡sicas"
"migratory patterns","patrones migratorios"
"reproductive behavior","comportamiento reproductivo"
"foraging behavior","comportamiento de alimentaci¢n"
"diseases","enfermedades"
"social behavior","Comportamiento social "
"dietary relationships","relaciones dietarias"
"climatic adaptation","adpatacion climatica"
"the struggle for survival","la odisea por sobrevivir"
"embriological development","desarrollo embriol¢gico"
"combustible materials","materiales combustibles"
"ores","minerales"
"alloys","aleaciones"
"elemental materials","materiales elementales"
"adhesives","adhesivos"
"the blast furnace","el alto horno"
