"Archery","Öj szat"
"a poem","egy vers"
"slept on rough stone","durva k”v”n aludt"
" Y-Variance"," Y-Elt‚r‚s"
"Blocks creatures but allows the passage of fluids and items.  Can be built over empty spaces, stairs, ramps, or above liquids.  Bars unlike grates do not have a quality and so do not enhance the value of rooms significantly.  Bars can be connected to levers.","Blokkolja a l‚nyeket, de lehet‹v‚ teszi a folyad‚kok ‚s t rgyak  tjut s t. šres terek, l‚pcs‹k, r mp k vagy folyad‚kok f”l‚ ‚p¡thet‹. A rost‚lyok a csap¢r csokkal ellent‚tben nem rendelkeznek min‹s‚ggel ‚s nem n”velik t£ls gosan a helyis‚gek ‚rt‚k‚t. A csap¢r csok nem csatlakoztathat¢k emel‹karokhoz."
"Loading parameters...","Param‚terek bet”lt‚se..."
"Loading artifacts...","Erekly‚k bet”lt‚se..."
"Alternatively, you can remove the requirement of a controllable civilization from the parameters, which will restrict you to adventurers (assuming an appropriate civilization is placed).","Alternat¡vak‚nt elt vol¡thatod az ir ny¡that¢ civiliz ci¢ k”vetelm‚ny‚t a param‚terek k”zl, ami a kalandoz¢kra korl toz¢dik (felt‚ve, hogy megfelel‹ civiliz ci¢ van elhelyezve)."
" finale"," v‚gs‹"
"Temperate Freshwater Swamp","M‚rs‚kelt ‚desvizû mocs r"
"melting","olvad"
"cooling lava","kihûl‹ l va"
"MEDIUM ISLAND","K™ZEPES SZIGET"
"Creating ","L‚trehoz s: "
"Now we'll unpause the game and let the miner finish the task.  Press ","Most pedig ind¡tsd el a j t‚kot, ‚s hagyd, hogy a b ny sz befejezze a feladatot. Nyomd meg: "
"Furnaces are used for smelting, glassmaking, pottery, ashmaking, or to make fuel from wood or raw coal.  Furnaces require fuel to function, or they can be set above magma.","A kemenc‚ket olvaszt sra, veggy rt sra, fazekass gra, hamugy rt sra, illetve f b¢l vagy nyers sz‚nb‹l sz rmaz¢ tzel‹anyag el‹ ll¡t s ra haszn lj k. A kemenc‚k mûk”d‚s‚hez tzel‹anyagra van szks‚g, de ak r magma f”l‚ is helyezhet‹k."
"rotten ","rohadt "
"Listen to Music","Zene meghallgat sa"
"The view will be dark underground until you begin mining.  You can move the camera to the surface with the surface button (highlighted.)  The ","A f”ld alatti l tk‚p s”t‚t lesz, am¡g el nem kezded a b ny szatot. A kamer t a felsz¡nre mozgathatod a felsz¡n gomb seg¡ts‚g‚vel (kiemelt.) A "
"slept in mud","s rban aludt"
"energetic poltergeist","energikus szellem"
" unstable."," instabil."
"Temperate Broadleaf Forest","M‚rs‚kelt lomblevelû erd‹"
"Loading interactions...","Interakci¢k bet”lt‚se..."
"Optics Engineer","Optikai m‚rn”k"
"Mangrove Swamp","Mangrove mocs r"
"the introduction","a bemutatkoz s"
"Civilizations","Civiliz ci¢k"
" a monster."," egy sz”rny."
" footwear"," l bbeli"
"Arctic Ocean","Sarkvid‚ki ¢ce n"
" a close friend"," egy k”zeli bar t"
"is incredibly muscular and very large","hihetetlenl izmos ‚s nagyon nagy"
"Cheese","Sajt"
" expressive"," kifejez‹"
"the story of ","a t”rt‚nete "
"Random seed","V‚letlenszerû magok"
"Introspection","™nvizsg lat"
"Ambusher","Rajtat‹"
"Skill","Szak‚rtelem"
"drowned","v¡zbe f£lt"
"Disdains skill","Megveti a szak‚rtelmet"
" my apprentice."," az ‚n tan¡tv nyom."
"Can your parameters achieve elevations between 100 and 299?  ","A param‚tereid k‚pesek el‚rni a 100 ‚s 299 k”z”tti magass got? "
"Selected tiles are high priority.","A kiv lasztott mez‹k magas priorit s£ak."
"feasts","lakom zik"
"Your","Tied"
"Leisure Time","Szabadid‹"
"Merriment","Vid ms g"
"Royal Dining Room","Kir lyi ‚tkez‹"
"You need something of value to trade. ","A keresked‚shez valami ‚rt‚kes dologra van szks‚ged. "
"Really change the dimensions?","Biztosan megv ltoztatod a m‚reteket?"
" run"," fut s"
"Disdains tradition","Megveti a hagyom nyt"
"Destruction","Pusztul s"
" Elevation Weighted Range ("," Emelked‚s s£lyozott tartom nya ("
"Twilight Age","Az Alkony kora"
"a lot of willpower","rengeteg akarater‹"
"Temperate Saltwater River","M‚rs‚kelt s¢s vizû foly¢"
"Reading","Olvas s"
"There is writing on this item, but you cannot read.","A t rgyon ¡r s tal lhat¢, de nem lehet elolvasni."
"Engraving","V‚s‚s"
"Place the windmill aboveground to generate power for machines, such as the millstone or screw pump.  Not all areas have strong winds.","Helyezd a sz‚lmalmot a f”ld f”l‚, hogy energi t termeljen a g‚pek, p‚ld ul a malomk‹ vagy a csigaszivatty£ sz m ra. Nem minden terletre jellemz‹ az er‹s sz‚l."
"my pet","kis llatom"
" has been opened by the attack"," sz‚tny¡lt a t mad st¢l"
"you.","te."
"Law","T”rv‚ny"
"You haven't saved your changes.","Nem mentetted el a m¢dos¡t sokat."
"glass","veg"
" died"," meghalt"
"Selected tiles are very high priority.","A kiv lasztott mez‹k nagyon magas priorit s£ak."
"a sermon on ","egy pr‚dik ci¢t "
", year ",", ‚v: "
"the synthesis","a szint‚zis"
"ghostly ","szellemes "
"Stair mining blueprint","L‚pcs‹sor ki s s nak alaprajza"
" my lover."," az ‚n szeret‹m."
"a chorus","egy k¢rus"
"Hunting/Related","Vad szat/Kapcsol¢d¢"
"What did you just say?","Mit mondt l?"
"Judging Intent","B¡r skod s"
"male ","f‚rfi "
"Meeting area","Tal lkoz¢helyis‚g"
"This object is threadbare.  ","Ez a t rgy kopottas. "
"Loading vehicles...","J rmûvek bet”lt‚se..."
"Dance Performance","T ncel‹ad s"
"Loading projectiles...","L”ved‚kek bet”lt‚se..."
"Socialize","Szocializ l"
"Some","N‚h ny"
" away"," ugrik"
"Wall/Floor Construction","Fal/Padl¢‚p¡t‚s"
"Outpost","El‹‹rs"
"Temperate Saltwater Swamp","M‚rs‚kelt s¢s vizû mocs r"
"wolf","farkas"
"The performers are finished.","AZ el‹ad¢k v‚geztek."
"trap component","csapda komponens"
"in a fetal position","magzat p¢zba"
"molten green glass","olvadt z”ld veg"
"Squads","Csapatok"
"You must be joking.","Te viccelsz."
"SMALL REGION","KIS RGIà"
"It is a nice temperature today.","Ma kellemes az id‹."
"Dining hall","tkez‹"
"master","mester"
"east","kelet"
"Parameters loaded!","Param‚terek bet”ltve!"
"trade","kereskedni"
"is gigantic but incredibly skinny with virtually no muscles to speak of","gigantikus, de hihetetlenl sov ny, ‚s gyakorlatilag nincsenek eml¡t‚sre m‚lt¢ izmai"
"Smaller","Kisebb"
"tearing apart","sz‚t t‚p"
"Temperate Savanna","M‚rs‚kelt szavanna"
"Tropical Saltwater Marsh","Tr¢pusi s¢s vizû l p"
"] or [C:2:0:1]roll the mouse wheel[C:7:0:0].  Hold shift to move faster.","] vagy [C:2:0:1]g”rgesd az eg‚rg”rg‹t[C:7:0:0]. A gyorsabb mozg shoz tartsd lenyomva a Shift billentyût."
"Grand Bedroom","Grandi¢zus h l¢szoba"
"Hidden","Rejtett"
"Chords, seldom-used, are sparse -- intervals and single pitches are favored.  ","A ritk n haszn lt akkordok sz¢rv nyosak - az id‹k”z”ket ‚s az egyes hangmagass gokat r‚szes¡tik el‹nyben. "
"impaled on ","felny rsal¢dott "
"hunger","‚hs‚g"
"years","‚v"
" now."," most."
"not a quarter hour ago","egy negyed ¢r ja se"
"waste","szem‚t"
"Accomplished","Teljes¡tve"
"Woodcrafting","Fafeldolgoz s"
"horse","l¢"
"No Cap","Nincs korl t"
"your","tied"
" catches"," elkapja"
"Loading jobs...","Munkahelyek bet”lt‚se..."
"music","zene"
"long, long ago","r‚ges, r‚gen"
"500 years","500 ‚v"
"Perseverance","Kitart s"
"ammunition","l‹szer"
"dead","halott"
" powerful"," er‹s"
"hourglass","homok¢ra"
"The dance enters a new section with ","A t nc £j szakaszba l‚p "
" not of the living."," nem az ‚l‹k k”zl."
"Miner","B ny sz"
"shattering","sz‚tt”r"
"Ponder ","Elm‚kedik "
"out of the wound","ki a sebb‹l"
"Sort by value.","Rendez‚s ‚rt‚k szerint."
"Make stone furniture here, as well as blocks which are used in constructions.","Itt k‚sz¡thetsz k‹b£torokat, valamint az ‚p¡tkez‚sekhez haszn latos t”mb”ket."
" is annoyed"," bossz£s"
"Temperate Freshwater Lake","M‚rs‚kelt ‚desvizû medence"
"pressed dirt","nyomott f”ld"
"trap","csapda"
"Moonstone","Holdk‹"
" a safe creature."," egy biztons gos l‚ny."
"Preparing elevation...","Emelked‚s el‹k‚sz¡t‚se..."
"Plant Processing","N”v‚nyfeldolgoz s"
"corpse","holttest"
"Growing vegetation...","N”v‚nyzet n”veked‚se..."
" repeated"," ism‚telt"
"many foes","sok ellens‚g"
"Text entry","Sz”veg bevitel"
"Willpower","Akarater‹"
"by the forces of ","a k”vetkez‹ erej‚nek k”sz”nhet‹en "
"North and South","szak ‚s D‚l"
"fracturing","elt”r"
"Dining Hall","tkez‹"
"Digging designation cancelled: damp stone located.","µs si kijel”l‚s visszavonva: nedves k‹ ‚szlelve."
"Rocky Wasteland","Szikl s pusztas g"
"Logic","Logika"
"Number of Demon Types","D‚mont¡pusok sz ma"
" skipped: identifier cannot start with 'classic'."," kihagyva: az azonos¡t¢ nem kezd‹dhet 'classic' sz¢val."
" part"," r‚sz"
"Disdains power","Megveti a hatalmat"
"Martial Prowess","Vit‚zs‚g"
" kick"," rug s"
"tearing","t‚p"
"Some children","N‚h ny gyerek"
"Low self esteem","Alacsony ”nbecsl‚s"
" my master."," az ‚n mesterem."
"Healthy","Eg‚szs‚ges"
"Royal Mausoleum","Kir lyi mauz¢leum"
"Clumsy","šgyetlen"
"Mill","Malom"
"astronomy","csillag szat"
"Placing other beasts...","Egy‚b besti k elhelyez‚se..."
"frozen lye powder","fagyott l£gpor"
"Continue generating","Gener l s folytat sa:"
"Make sure your parameters and presets can support high elevation areas.  ","Gy‹z‹dj meg r¢la, hogy a param‚terek ‚s az alapbe ll¡t sok t mogatj k a magasan fekv‹ terleteket. "
"Climbing","M sz s"
"Potash Making","K liumgy rt s"
"Worship","Istentisztelet"
"Stone Carver","K‹v‚s‹"
"Listen to Poetry","Hallgasd meg a k”ltem‚nyt"
"bracelet","kark”t‹"
"Never more than an interval sounds at once.  ","Soha nem sz¢l egyszerre t”bb mint egy tem. "
"Fish Cleaner","Halpucol¢"
"Numb","Zsibbadt"
"Temperate Conifer Forest","M‚rs‚kelt tûlevelû erd‹"
"Critical Thinking","Kritikus gondolkod s"
"Maximum number of sites","Helysz¡nek maxim lis sz ma"
"Allow Necromancer Lieutenants","Nekromanta vez‚rek enged‚lyez‚se"
"green glass","z”ld veg"
"Speaking","Besz‚d"
" calm"," nyugodt"
"Fighting","Harc"
"Disdains peace","Megveti a b‚k‚t"
"Stone Crafter","K‹farag¢"
"Stoicism","Higgadts g"
"several years ago","j¢p r ‚vvel ezel‹tt"
"buffalo","bivaly"
"grandfather","nagyapa"
"To change the camera's elevation, press ","A kamera emelked‚si szintj‚nek m¢dos¡t s hoz nyomd meg: "
"Music","Zene"
"stinking","bzl‹"
"Click the help button","Kattints a s£g¢ gombra"
"The world generator is having trouble placing rivers.  ","A vil ggener tornak gondjai vannak a foly¢k elhelyez‚s‚vel. "
"You might want to adjust the parameters governing rainfall.  ","rdemes lenne be ll¡tanod a csapad‚kot szab lyoz¢ param‚tereket. "
"Skills","Szak‚rtelmek"
" Old"," ™reg"
"molten clear glass","olvadt  tl tsz¢ veg"
"Mason","K‹mûves"
"Pause after loading","Sznet bet”lt‚s ut n"
"Loading world information...","Vil ginform ci¢ bet”lt‚se..."
" is excited"," izgatott"
"Trapper","Csapd sz"
"Individual Combat Drill","Egy‚ni harci kik‚pz‚s"
"bison","b”l‚ny"
"Make sure your parameters and presets allow as many mid-elevation squares as you are requiring low-lying caves.  ","Gy‹z‹dj meg r¢la, hogy a param‚terei ‚s az alapbe ll¡t sok annyi k”z‚pmagass g£ n‚gyzetet tesznek lehet‹v‚, ah ny alacsonyan fekv‹ barlangot szeretn‚l. "
"Age of Emptiness","Az šress‚g kora"
"Herbalism","Gy¢gyn”v‚nytan"
"a legendary brawler","egy legend s birk¢z¢"
"No Dining Room","Nincs ‚tkez‹"
"Splendid Study","Pomp s dolgoz¢szoba"
"ring","gyûrû"
"Dig a ramp on this level, going up.","µss egy r mp t ezen a szinten, felfel‚ haladva."
"Lead Combat Training","Vezet‹ harci kik‚pz‚se"
"Cabinets are used in personal bedrooms for storing clothing objects.  A cabinet object must be made before it can be placed.","A szem‚lyi h l¢szob kban l‚v‹ szekr‚nyeket ruh zati t rgyak t rol s ra haszn lj k. A szekr‚nyt el kell k‚sz¡teni, miel‹tt elhelyezhet‹ lenne."
"Can your parameters achieve elevations between 0 and 99?  ","A param‚tereid k‚pesek el‚rni a 0 ‚s 99 k”z”tti magass got? "
"Simulate ","Szimul l "
"powder","por"
"Keep world and return to main menu","Vil g megtart sa ‚s visszat‚r‚s a f‹menbe"
"molten salt","olvadt s¢"
"Conversationalist","Besz‚lget‹partner"
"All active/manual/autosaves there will be deleted!","Minden akt¡v/manu lis/automatikus ment‚s t”rl‚sre kerl!"
"itself","maga"
"independence","fggetlens‚g"
"Pause","Sznet"
"You might want to adjust the parameters governing savagery.  ","Tal n m¢dos¡tanod kellene a vads got szab lyoz¢ param‚tereket. "
"triangle","h romsz”g"
" gem"," dr gak‹"
"grandparent","nagyszl‹"
"No, I'm not interested.","Nem, nem ‚rdekel."
"Stone type","K‹fajta"
"POCKET ISLAND","APRà SZIGET"
"Siege Operation","Ostrom-mûvelet"
"ground coral","f”ldi koral"
"50 years","50 ‚v"
"Disdains truth","Megveti az igazs got"
" attacks "," t mad "
"Stonecutter","K‹metsz‹"
" should be"," lennie kell"
"Disdains knowledge","Megveti a tud st"
"Tropical Freshwater Marsh","Tr¢pusi ‚desvizû l p"
"Proficient","Szak‚rt‹"
"Animal Trainer","µllatoktat¢"
"refusing ","elutas¡t "
"there","ott"
"The world generator is having trouble placing oceans.  ","A vil ggener tornak gondjai vannak az ¢ce nok elhelyez‚s‚vel. "
"speaking with ","besz‚l vele "
"northwest","‚szaknyugat"
" leftward bend"," balra d‹l"
"Loading fortress information...","Er‹dinform ci¢k bet”lt‚se..."
"The world generator is having trouble placing enough high elevations.  ","A vil ggener tornak gondjai vannak a magaslatok elhelyez‚s‚vel. "
"Rare","Ritka"
"I'm not jolly.","Nem vagyok j¢kedvû."
"Master Volume: ","µltal nos hanger‹: "
"World map size","Vil gt‚rk‚p m‚rete"
"Decrease FPS limit","FPS Limit cs”kkent‚se"
" own dead "," saj t halott "
" weightless"," s£lytalan"
"Disdains competition","Megveti a verseng‚st"
"Converting mining blueprint to regular","Tervrajz  talak¡t sa k”z”ns‚ges b ny szatt "
"a hero","egy h‹s"
"What a wind!","Micsoda sz‚l!"
"dawn","hajnal"
"Armorsmithing","P nc‚lmûvess‚g"
"Allow Necromancer Ghouls","Nekromanta g£lok enged‚lyez‚se"
"a few minutes ago","p r percel ezel‹tt"
"Stoneworking","K‹mûvess‚g"
"Fluid Engineer","Folyad‚km‚rn”k"
"End Year","v v‚ge"
"a wall","egy fal"
"Disdains artwork","Megveti a mûalkot sokat"
"Tropical Brackish Lake","Tr¢pusi enyh‚n s¢s vizû t¢"
"Loading effects...","Hat sok bet”lt‚se..."
"Are you sure you want to go on?","Biztosan tov bb akarsz l‚pni?"
"tortoise","sz razf”ldi tekn‹s"
"spinning ","forog "
"[C:VAR:MEETING:ACTOR][VAR:NATIVENAME:MEETING:ACTOR]:  You have disrespected the trees in this area, but this is what we have come to expect from your stunted kind.  Further abuse cannot be tolerated.  Let this be a warning to you.","[C:VAR:MEETING:ACTOR][VAR:NATIVENAME:MEETING:ACTOR]: Tiszteletlenl viselkedt‚l e terleten ‚l‹ f kkal szemben, de h t nem is sz m¡tottunk m sra a t”mzsi fajt dt¢l. Azonban nem tûrnk el tov bbi er‹szakot. Vegy‚tek ezt figyelmeztet‚snek."
" soft"," puha"
" right kick"," jobb rug s"
"family","csal d"
"secretive poltergeist","titokzatos szellem"
"Low willpower","Gyenge akarater‹"
"Engraver","V‚sn”k"
"You continue the dance.","Folytatod a t ncot."
"You enter ","Bel‚psz "
" empties "," r¡t "
"Place zones to establish meeting areas, pastures, and more.","Helyezz el z¢n kat, hogy tal lkoz¢helyeket, legel‹ket ‚s egyebeket alak¡thass ki."
"I talked to my child.","Besz‚ltem a gyerekemmel."
"bells","cseng‹k"
"The world generator is having trouble setting volcanism in the manner specified by the parameters.  ","A vil ggener tornak gondjai vannak a vulkanizmus be ll¡t s val a param‚terek  ltal meghat rozott m¢don. "
"I am not happy.","Nem vagyok boldog."
"What is this?  ","Mi ez? "
" and"," ‚s"
"triangles","h romsz”gek"
"Historical maps","T”rt‚nelmi t‚rk‚pek"
"Rain Mesh Size","Es‹ h l¢m‚rete"
"Display water and magma depth numerically (1 to 7.)","A v¡z ‚s a magma m‚lys‚g‚nek sz mbeli megjelen¡t‚se (1-t‹l 7-ig)."
" head"," fej"
" saw the sun and vomited on the spot!"," Megl tta a napot, majd h nyni kezdett!"
"Make sure to leave the ceiling above intact so the underground soil doesn't receive any sunlight.","šgyelj arra, hogy a mennyezetet ‚rintetlenl maradjon ‚s a f”ld alatti talaj ne kapjon napf‚nyt."
"We checked that stone for heat!  What devilry is this?!","Ellen‹riztk, hogy a k‹ nem melegszik-e! Mif‚le ”rd”gi dolog ez?!"
"Loading occupations...","Foglalkoz sok bet”lt‚se..."
"Disdains merriment","Megveti a j¢kedvet"
"millstone","malomk‹"
" but the shot is "," de a l”v‚s "
"porcupine","sl"
"SMALLER ISLAND","KISEBB SZIGET"
"body","test"
"bodies","testek"
"upper body","fels‹ test"
"upper bodies","fels‹ testek"
"lower body","als¢ test"
"lower bodies","als¢ testek"
"right upper arm","jobb fels‹ k‚z"
"right upper arms","jobb fels‹ kezek"
"jobb fels‹ k‚zs","jobb fels‹ kezek"
"left upper arm","bal als¢ k‚z"
"left upper arms","bal als¢ kezek"
"bal als¢ k‚zs","bal als¢ kezek"
"right lower arm","jobb als¢ k‚z"
"right lower arms","jobb als¢ kezek"
"jobb als¢ k‚zs","jobb als¢ kezek"
"A person with the head and wings of a swan.","Meny‚tfejjel ‚s meny‚tfarokkal rendelkez‹ szem‚ly."
"giant swan","¢ri shatty£"
"giant swans","¢ri shatty£k"
"A large monster in the form of a swan.","àri si, hi£z alak£ sz”rnyeteg."
"beauty","sz‚ps‚g"
"A tiny, brightly-colored tree parrot.  It uses its tongue to feed on plants.","Egy f kon ‚l‹ apr¢, ‚l‚nk sz¡nû papag j. Nyelv‚vel t pl lkozik a n”v‚nyekb‹l."
"donkey's milk","szam rtej"
"melted bumblebee wax","olvadt dong¢viasz"
"silvery bodies","ezst”s testek"
"A huge ape found in the forest.  It lives in small groups eating plants.  The groups are lead by a large dominant male with a silver back.","Egy hatalmas majom, amely az erd‹ben tal lhat¢. Kis csoportokban ‚l ‚s n”v‚nyeket eszik. A csoportokat egy hatalmas, ezsth t£, domin ns h¡m vezeti."
"silvery gibbon","ezst”s gibbon"
"silvery gibbons","ezst”s gibbon"
"two-humped camel's milk","k‚tp£p£ tevetej"
"melted two-humped camel cheese","olvadt k‚tp£p£ tevesajt"
"helmet snake venom","sisakk¡gy¢ m‚rge"
"corrupted blood","megrontott v‚r"
"cave blob fluid","barlangi paca folyad‚ka"
"octopus ink","poliptinta"
"cuttlefish ink","tintahal tinta"
"phantom spider venom","fantomp¢k m‚rge"
"squid ink","kalm rtinta"
"bite","harap s"
"bites","harap sok"
"finger","ujj"
"fingers","ujjak"
"nose","orr"
"ear","fl"
"giant cave spider venom","¢ri s barlangi p¢k m‚rge"
"cave spider venom","barlangi p¢k m‚rge"
"condensed iron man gas","sûr¡tett vasember-g z"
"serpent man venom","k¡gy¢ember m‚rge"
"kangaroo's milk","kengurutej"
"melted kangaroo cheese","olvadt kengurusajt"
"adder venom","viperam‚reg"
"rattlesnake venom","cs”rg‹k¡gy¢ m‚rge"
"weasel man","meny‚tember"
"weasel men","meny‚tember"
"weasel woman","meny‚tn‹"
"weasel women","meny‚tn‹"
"A person with the head and tail of a weasel.","Olyan szem‚ly, akinek meny‚t feje ‚s farka van."
"copperhead snake venom","rezesfejû k¡gy¢ m‚rge"
"king cobra venom","kir lykobra m‚rge"
"black mamba venom","fekete mamba m‚rge"
"bushmaster venom","g”d”rk‚sorr£-vipera m‚rge"
"tapir's milk","tap¡rtej"
"melted tapir cheese","olvadt tap¡rsajt"
"giant lynx","¢ri shi£z"
"A huge monster in the shape of a lynx.","Egy ¢ri si, hi£z alak£ sz”rnyeteg."
"ear tufts","flpamacsok"
"amber","borosty n"
"amethyst","ametiszt"
"aqua","akva"
"aquamarine","akvamarin"
"ash gray","hamuszrke"
"auburn","bord¢"
"azure","az£rk‚k"
"beige","b‚zs"
"black","fekete"
"blue","k‚k"
"brass","s rgar‚z"
"bronze","bronz"
"brown","barna"
"silver","ezst"
"molten iron","olvadt vas"
"molten gold","olvadt arany"
"molten silver","olvadt ezst"
"boiling silver","forr sban l‚v‹ ezst"
"molten copper","olvadt v”r”sr‚z"
"molten nickel","olvadt nikkel"
"molten zinc","olvadt cink"
"molten bronze","olvadt bronz"
"molten brass","olvadt s rgar‚z"
"molten steel","olvadt ac‚l"
"molten pig iron","olvadt nyersvas"
"molten platinum","olvadt platina"
"molten electrum","olvadt elektrum"
"molten tin","olvadt b dog"
"molten fine pewter","olvadt cin"
"molten trifle pewter","olvadt ”nt‹¢n"
"molten lay pewter","olvadt  gyaz¢¢n"
"molten lead","olvadt ¢lom"
"molten aluminum","olvadt alum¡nium"
"nickel silver","nikkelezst"
"molten nickel silver","olvadt nikkelezst"
"boiling nickel silver","forr sban l‚v‹ nikkelezst"
"molten billon","olvadt r‚zezst"
"sterling silver","sterling ezst"
"molten sterling silver","olvadt sterling ezst"
"molten black bronze","olvadt feketebronz"
"molten rose gold","olvadt r¢zsaarany"
"molten bismuth","olvadt bizmut"
"molten bismuth bronze","olvadt bizmutbronz"
"molten adamantine","olvadt adamantin"
"molten native gold","olvadt term‚szetes arany"
"silver nuggets","ezstr”g”k"
"native silver","term‚szetes ezst"
"molten native silver","olvadt term‚szetes ezst"
"boiling native silver","forr sban l‚v‹ term‚szetes ezst"
"molten native copper","olvadt term‚szetes v”r”sr‚z"
"molten native platinum","olvadt term‚szetes platina"
"horn silver","szarvezst"
"molten native aluminum","olvadt term‚szetes alum¡nium"
"molten raw adamantine","olvadt nyers adamantin"
"molten metal","olvadt f‚m"
"grease","zs¡r"
"greasy","zs¡ros"
"blood","v‚r"
"melted soap","olvadt szappan"
"melted tallow","olvadt faggy£"
"milk","tejes"
"milky","tejes"
"melted cheese","olvadt sajt"
"silver bark","ezstk‚reg"
"make nickel silver bars","nikkelezst rudak k‚sz¡t‚se"
"make sterling silver bars","sterling ezst rudak k‚sz¡t‚se"
